"sample_list[i]","AT.25degC","AT.lab.temp","AT.insitu.temp"
"SACRIFICE",1732.26717091612,1755.41650005032,1732.26717091612
"BAYSTD1-02202020-1",2171.60373635031,2191.87332174615,2222.1018334158
"BAYSTD1-02202020-2",2168.33253682415,2191.79443680268,2220.36600591345
"BAYSTD1-02202020-3",2169.68066834257,2191.0569022498,2220.45471936488
"AMB-6-1",2205.29339655284,2227.92804075913,2248.41935802272
"AMB-6-2",2203.57157193362,2224.17893210636,2244.34892634137
"AMB-6-3",2203.63329832057,2219.62373306169,2245.93120863715
"AMB-4-1",2209.26540992396,2228.23917494513,2245.68377910215
"AMB-4-2",2205.64689457109,2224.98389723964,2245.85156334024
"AMB-4-3",2207.2129170869,2227.31374356983,2248.18279124811
"AMB-2-1",2201.95312729751,2222.47473490541,2241.57441518023
"AMB-2-2",2201.75440157375,2223.00491556824,2244.12855762885
"AMB-2-3",2206.78189677806,2222.38977876051,2246.31460976348
"BAYSTD1-02202020-4",2172.39686499658,2193.61393274706,2220.98051220353
"BAYSTD1-02202020-5",2167.43966228542,2188.22173348328,2217.33933553293
"BAYSTD1-02202020-6",2171.81558991935,2193.90399251563,2222.78811769481
"CRM186-02202020-1",2234.90848458103,2256.48911937293,2234.90848458103
"CRM186-02202020-2",2233.83190392882,2255.69800785356,2233.83190392882
"CRM186-02202020-3",2236.80264262246,2256.4265483091,2236.80264262246
