"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.2245,205.3,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.2445,207.5,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.2645,209.2,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.2845,210.9,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.3045,212.4,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.3245,213.9,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.3445,215.4,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.3645,216.7,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.3845,218,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.4045,219.2,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.4245,220.4,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.4445,221.5,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.4645,222.7,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.4845,223.6,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.5045,224.5,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.5245,225.5,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.5445,226.4,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.5645,227.3,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.5845,228.1,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.6045,229,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.6245,229.8,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.6445,230.5,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.6645,231.3,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
1.6845,232,20.2,"AMB-6-2",46.351,26.7,14.1,6.9,7,203.88,232.02
