"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.41,203.9,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.43,205.7,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.45,207.3,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.47,208.8,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.49,210.2,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.51,211.6,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.53,212.9,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.55,214.2,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.57,215.4,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.59,216.5,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.61,217.7,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.63,218.8,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.65,219.7,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.67,220.6,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.69,221.6,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.71,222.4,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.73,223.3,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.75,224.1,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.77,225,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.79,225.8,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.81,226.6,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.83,227.3,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.85,228.1,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.87,228.7,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.89,229.4,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.91,230,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.93,230.7,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.95,231.3,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
1.97,231.9,20.1,"BAYSTD1-02202020-4",54.573,27.53,11.92,6.9,7,203.88,232.02
