"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.2535,205.4,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.2735,207.4,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.2935,209.2,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.3135,210.8,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.3335,212.4,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.3535,213.9,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.3735,215.3,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.3935,216.6,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.4135,217.9,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.4335,219.1,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.4535,220.3,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.4735,221.4,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.4935,222.5,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.5135,223.5,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.5335,224.4,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.5535,225.4,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.5735,226.3,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.5935,227.1,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.6135,228,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.6335,228.8,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.6535,229.6,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.6735,230.4,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.6935,231.2,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
1.7135,231.9,20,"CRM186-02202020-3",46.955,33.525,25,6.9,7,203.88,232.02
