"volume","E","temperature","sample.id","weight","S","in.situ.temperature","ETris","pHTris","EHigh","ELow"
1.2825,204.7,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.3025,206.2,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.3225,207.8,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.3425,209.2,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.3625,210.5,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.3825,211.8,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.4025,213.1,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.4225,214.2,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.4425,215.3,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.4625,216.3,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.4825,217.3,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.5025,218.3,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.5225,219.2,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.5425,220.1,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.5625,221,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.5825,221.8,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.6025,222.7,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.6225,223.5,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.6425,224.3,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.6625,225,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.6825,225.7,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.7025,226.4,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.7225,227.1,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.7425,227.7,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.7625,228.4,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.7825,229,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.8025,229.7,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.8225,230.3,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.8425,230.9,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.8625,231.4,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
1.8825,231.9,19.4,"SACRIFICE",58.436,37,25,6.9,7,203.88,232.02
