Titration Data Only,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,"Scope 1/1, Sample 1/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
,Time,,,Meas. value,,,,Temp.,,,dE,,,
,[s],,,[mV],,,,[°C],,,[mV],,,
,1,,,-24.8,,,,18.9,,,,,,
,2,,,-24.8,,,,18.9,,,0.0,,,
,3,,,-24.8,,,,18.9,,,0.0,,,
,4,,,-24.8,,,,18.9,,,0.0,,,
,5,,,-24.8,,,,18.9,,,0.0,,,
,6,,,-24.8,,,,18.9,,,0.0,,,
,7,,,-24.8,,,,18.9,,,0.0,,,
,8,,,-24.9,,,,18.9,,,-0.1,,,
,9,,,-24.9,,,,18.9,,,0.0,,,
Titration (EP) [1],,,,,,"Scope 1/1, Sample 1/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
,Time,V,,,Meas. value,,dV,,Temp.,dE,,,,EP
,[s],[mL],,,[mV],,[mL],,[°C],[mV],,,,
,0,0.0000,,,-25.0,,,,18.9,,,,,
,1,0.0010,,,-25.1,,0.0010,,18.9,-0.1,,,,
,2,0.0050,,,-25.0,,0.0040,,18.9,0.1,,,,
,3,0.0110,,,-24.4,,0.0060,,18.9,0.6,,,,
,4,0.0200,,,-22.7,,0.0090,,18.9,1.7,,,,
,5,0.0340,,,-18.7,,0.0140,,18.9,4.0,,,,
,6,0.0550,,,-12.6,,0.0210,,18.9,6.1,,,,
,7,0.0800,,,-4.1,,0.0250,,18.9,8.5,,,,
,8,0.1145,,,6.6,,0.0345,,18.9,10.7,,,,
,9,0.1565,,,18.3,,0.0420,,18.9,11.7,,,,
,10,0.2085,,,30.1,,0.0520,,18.9,11.8,,,,
,11,0.2715,,,41.7,,0.0630,,18.9,11.6,,,,
,12,0.3470,,,54.7,,0.0755,,18.9,13.0,,,,
,13,0.4255,,,67.8,,0.0785,,18.9,13.1,,,,
,14,0.5250,,,81.1,,0.0995,,19.0,13.3,,,,
,15,0.6380,,,95.4,,0.1130,,19.0,14.3,,,,
,16,0.6970,,,109.9,,0.0590,,19.0,14.5,,,,
,17,0.7065,,,111.1,,0.0095,,19.0,1.2,,,,
,18,0.7185,,,108.8,,0.0120,,19.0,-2.3,,,,
,19,0.7325,,,109.4,,0.0140,,19.0,0.6,,,,
,20,0.7540,,,112.3,,0.0215,,19.0,2.9,,,,
,21,0.7805,,,117.7,,0.0265,,19.0,5.4,,,,
,22,0.8095,,,125.5,,0.0290,,19.0,7.8,,,,
,23,0.8370,,,132.4,,0.0275,,19.0,6.9,,,,
,24,0.8610,,,139.1,,0.0240,,19.0,6.7,,,,
,25,0.8755,,,145.2,,0.0145,,19.0,6.1,,,,
,26,0.8895,,,150.0,,0.0140,,19.0,4.8,,,,
,27,0.9030,,,154.1,,0.0135,,19.0,4.1,,,,
,28,0.9175,,,158.3,,0.0145,,19.0,4.2,,,,
,29,0.9315,,,162.4,,0.0140,,19.0,4.1,,,,
,30,0.9425,,,165.6,,0.0110,,19.0,3.2,,,,
,31,0.9505,,,168.3,,0.0080,,19.0,2.7,,,,
,32,0.9595,,,170.5,,0.0090,,19.0,2.2,,,,
,33,0.9690,,,172.4,,0.0095,,19.0,1.9,,,,
,34,0.9800,,,174.5,,0.0110,,19.0,2.1,,,,
,35,0.9910,,,176.3,,0.0110,,19.0,1.8,,,,
,36,1.0010,,,178.2,,0.0100,,19.0,1.9,,,,
,37,1.0090,,,180.0,,0.0080,,19.0,1.8,,,,
,38,1.0140,,,181.2,,0.0050,,19.0,1.2,,,,
,39,1.0190,,,182.0,,0.0050,,19.0,0.8,,,,
,40,1.0260,,,182.9,,0.0070,,19.0,0.9,,,,
,41,1.0335,,,183.9,,0.0075,,19.0,1.0,,,,
,42,1.0400,,,184.8,,0.0065,,19.0,0.9,,,,
,43,1.0455,,,185.7,,0.0055,,19.0,0.9,,,,
,44,1.0495,,,186.4,,0.0040,,19.0,0.7,,,,
,45,1.0530,,,186.8,,0.0035,,19.0,0.4,,,,
,46,1.0575,,,187.4,,0.0045,,19.0,0.6,,,,
,47,1.0625,,,187.9,,0.0050,,19.0,0.5,,,,
,48,1.0665,,,188.5,,0.0040,,19.0,0.6,,,,
,49,1.0695,,,188.8,,0.0030,,19.0,0.3,,,,
,50,1.0720,,,189.1,,0.0025,,19.0,0.3,,,,
,51,1.0750,,,189.4,,0.0030,,19.0,0.3,,,,
,52,1.0775,,,189.7,,0.0025,,19.0,0.3,,,,
,53,1.0805,,,190.0,,0.0030,,19.0,0.3,,,,
,54,1.0830,,,190.1,,0.0025,,19.0,0.1,,,,
,55,1.0855,,,190.4,,0.0025,,19.0,0.3,,,,
,56,1.0880,,,190.6,,0.0025,,19.0,0.2,,,,
,57,1.0895,,,190.9,,0.0015,,19.0,0.3,,,,
,58,1.0920,,,191.1,,0.0025,,19.0,0.2,,,,
,59,1.0940,,,191.3,,0.0020,,19.0,0.2,,,,
,60,1.0955,,,191.5,,0.0015,,19.0,0.2,,,,
,61,1.0965,,,191.5,,0.0010,,19.0,0.0,,,,
,62,1.1005,,,191.7,,0.0040,,19.0,0.2,,,,
,63,1.1020,,,192.0,,0.0015,,19.0,0.3,,,,
,,1.1020,,,192.0,,,,,,,,,EP
,64,1.1025,,,192.2,,0.0005,,19.0,0.2,,,,
,65,1.1025,,,192.2,,0.0000,,19.0,0.0,,,,
,66,1.1025,,,192.2,,0.0000,,19.0,0.0,,,,
,66,1.1025,,,192.1,,0.0000,,19.0,-0.1,,,,
Titration (EQP) [2],,,,,,"Scope 1/1, Sample 1/19",,,,,,,,
Measured Values,,,"Scope 1/1, Sample 1/19",,,,,,,,,,,
,Time,V,,,Meas. value,,dV,,Temp.,dE,,,dE/dV,
,[s],[mL],,,[mV],,[mL],,[°C],[mV],,,[mV/mL],
,0,0.0000,,,184.6,,,,19.3,,,,,
,3,0.0200,,,187.2,,0.0200,,19.4,2.6,,,,
,6,0.0400,,,190.0,,0.0200,,19.4,2.8,,,,
,9,0.0600,,,192.7,,0.0200,,19.4,2.7,,,,
,12,0.0800,,,195.2,,0.0200,,19.4,2.5,,,,
,15,0.1000,,,197.4,,0.0200,,19.4,2.2,,,109.59,
,18,0.1200,,,199.5,,0.0200,,19.4,2.1,,,98.33,
,21,0.1400,,,201.4,,0.0200,,19.4,1.9,,,90.02,
,24,0.1600,,,203.1,,0.0200,,19.4,1.7,,,84.07,
,27,0.1800,,,204.7,,0.0200,,19.4,1.6,,,79.34,
,30,0.2000,,,206.2,,0.0200,,19.4,1.5,,,75.11,
,33,0.2200,,,207.8,,0.0200,,19.4,1.6,,,72.49,
,36,0.2400,,,209.2,,0.0200,,19.4,1.4,,,69.72,
,39,0.2600,,,210.5,,0.0200,,19.4,1.3,,,66.51,
,42,0.2800,,,211.8,,0.0200,,19.4,1.3,,,62.78,
,45,0.3000,,,213.1,,0.0200,,19.4,1.3,,,58.91,
,48,0.3200,,,214.2,,0.0200,,19.4,1.1,,,56.21,
,51,0.3400,,,215.3,,0.0200,,19.4,1.1,,,53.22,
,54,0.3600,,,216.3,,0.0200,,19.4,1.0,,,50.41,
,58,0.3800,,,217.3,,0.0200,,19.4,1.0,,,48.71,
,60,0.4000,,,218.3,,0.0200,,19.4,1.0,,,47.21,
,64,0.4200,,,219.2,,0.0200,,19.4,0.9,,,45.70,
