Gran Titration Data Report - Nielsen Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sample ID,,,,,,,,,,,Name,,,,,Result,,,,,,,,,State,,,,
1,,,SAC-1,,,,,,,,,,,Sample size,,,,,51.443 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-25.500 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.870 mL,,,,,,,,,OK,,,,
2,,,SAC-2,,,,,,,,,,,Sample size,,,,,51.389 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-54.700 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.665 mL,,,,,,,,,OK,,,,
3,,,SAC-3,,,,,,,,,,,Sample size,,,,,51.867 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-60.500 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.808 mL,,,,,,,,,OK,,,,
4,,,P-0077-1-1,,,,,,,,,,,Sample size,,,,,53.559 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-40.100 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.643 mL,,,,,,,,,OK,,,,
5,,,P-0077-1-2,,,,,,,,,,,Sample size,,,,,52.242 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-40.800 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.608 mL,,,,,,,,,OK,,,,
6,,,P-0077-1-3,,,,,,,,,,,Sample size,,,,,53.034 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-41.400 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.652 mL,,,,,,,,,OK,,,,
7,,,P-0077-2-1,,,,,,,,,,,Sample size,,,,,52.888 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-42.100 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.638 mL,,,,,,,,,OK,,,,
8,,,P-0077-2-2,,,,,,,,,,,Sample size,,,,,52.404 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-42.600 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.626 mL,,,,,,,,,OK,,,,
9,,,P-0077-2-3,,,,,,,,,,,Sample size,,,,,52.502 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-43.200 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.632 mL,,,,,,,,,OK,,,,
10,,,P-0077-3-1,,,,,,,,,,,Sample size,,,,,53.279 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-43.600 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.662 mL,,,,,,,,,OK,,,,
11,,,P-0077-3-2,,,,,,,,,,,Sample size,,,,,53.014 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-44.000 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.657 mL,,,,,,,,,OK,,,,
12,,,P-0077-3-3,,,,,,,,,,,Sample size,,,,,51.193 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-44.700 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.602 mL,,,,,,,,,OK,,,,
13,,,BAYSTD1-10132020-1,,,,,,,,,,,Sample size,,,,,50.649 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-48.300 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.546 mL,,,,,,,,,OK,,,,
14,,,BAYSTD1-10132020-2,,,,,,,,,,,Sample size,,,,,50.158 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-48.300 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.533 mL,,,,,,,,,OK,,,,
15,,,BAYSTD1-10132020-3,,,,,,,,,,,Sample size,,,,,52.417 g,,,,,,,,,,,,,
,,,,,,,,,,,,,,pH Start R1,,,,,-48.500 pH,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,Total HCl R2,,,,,1.610 mL,,,,,,,,,OK,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure (normal) [1],,,,,,,,,,,"Scope 1/1, Sample 1/15",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 1/15",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,,,,,,Meas. value,,,,,,,Temp.,,,,,dE,,,,,,,,,,,
,[s],,,,,,,,[mV],,,,,,,[°C],,,,,[mV],,,,,,,,,,,
,1,,,,,,,,-25.4,,,,,,,20.6,,,,,,,,,,,,,,,,
,2,,,,,,,,-25.4,,,,,,,20.6,,,,,0.0,,,,,,,,,,,
,3,,,,,,,,-25.4,,,,,,,20.6,,,,,0.0,,,,,,,,,,,
,4,,,,,,,,-25.5,,,,,,,20.6,,,,,-0.1,,,,,,,,,,,
,5,,,,,,,,-25.5,,,,,,,20.6,,,,,0.0,,,,,,,,,,,
,6,,,,,,,,-25.5,,,,,,,20.6,,,,,0.0,,,,,,,,,,,
,7,,,,,,,,-25.5,,,,,,,20.6,,,,,0.0,,,,,,,,,,,
,8,,,,,,,,-25.5,,,,,,,20.6,,,,,0.0,,,,,,,,,,,
,9,,,,,,,,-25.5,,,,,,,20.6,,,,,0.0,,,,,,,,,,,
,10,,,,,,,,-25.5,,,,,,,20.6,,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titration (EP) [1],,,,,,,,,,,"Scope 1/1, Sample 1/15",,,,,,,,,,,,,,,,,,,,,
E - V Curve,,,,,,"Scope 1/1, Sample 1/15",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E [mV],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measured Values,,,,,,,"Scope 1/1, Sample 1/15",,,,,,,,,,,,,,,,,,,,,,,,,
,Time,,,V,,,,,,Meas. value,,,dV,,,,Temp.,,,dE,,,,,,,EP,,,,,
,[s],,,[mL],,,,,,[mV],,,[mL],,,,[°C],,,[mV],,,,,,,,,,,,
,0,,,0.0000,,,,,,-25.6,,,,,,,20.7,,,,,,,,,,,,,,,
,1,,,0.0010,,,,,,-25.8,,,0.0010,,,,20.7,,,-0.2,,,,,,,,,,,,
,2,,,0.0050,,,,,,-25.9,,,0.0040,,,,20.7,,,-0.1,,,,,,,,,,,,
,3,,,0.0110,,,,,,-25.9,,,0.0060,,,,20.7,,,0.0,,,,,,,,,,,,
,4,,,0.0195,,,,,,-25.8,,,0.0085,,,,20.7,,,0.1,,,,,,,,,,,,
,5,,,0.0335,,,,,,-25.6,,,0.0140,,,,20.7,,,0.2,,,,,,,,,,,,
,6,,,0.0540,,,,,,-24.2,,,0.0205,,,,20.7,,,1.4,,,,,,,,,,,,
,7,,,0.0780,,,,,,-21.6,,,0.0240,,,,20.7,,,2.6,,,,,,,,,,,,
,8,,,0.1115,,,,,,-17.2,,,0.0335,,,,20.7,,,4.4,,,,,,,,,,,,
,9,,,0.1530,,,,,,-12.4,,,0.0415,,,,20.7,,,4.8,,,,,,,,,,,,
,10,,,0.2045,,,,,,-6.8,,,0.0515,,,,20.7,,,5.6,,,,,,,,,,,,
,11,,,0.2670,,,,,,-1.1,,,0.0625,,,,20.7,,,5.7,,,,,,,,,,,,
,12,,,0.3410,,,,,,4.7,,,0.0740,,,,20.7,,,5.8,,,,,,,,,,,,
,13,,,0.4175,,,,,,10.8,,,0.0765,,,,20.7,,,6.1,,,,,,,,,,,,
,14,,,0.5165,,,,,,17.7,,,0.0990,,,,20.7,,,6.9,,,,,,,,,,,,
,15,,,0.6280,,,,,,26.4,,,0.1115,,,,20.7,,,8.7,,,,,,,,,,,,
,16,,,0.7515,,,,,,37.9,,,0.1235,,,,20.7,,,11.5,,,,,,,,,,,,
,17,,,0.8880,,,,,,52.0,,,0.1365,,,,20.7,,,14.1,,,,,,,,,,,,
,18,,,1.0355,,,,,,66.8,,,0.1475,,,,20.7,,,14.8,,,,,,,,,,,,
,19,,,1.1790,,,,,,84.2,,,0.1435,,,,20.7,,,17.4,,,,,,,,,,,,
,20,,,1.3515,,,,,,108.7,,,0.1725,,,,20.7,,,24.5,,,,,,,,,,,,
,21,,,1.5135,,,,,,150.8,,,0.1620,,,,20.7,,,42.1,,,,,,,,,,,,
,22,,,1.5160,,,,,,179.1,,,0.0025,,,,20.7,,,28.3,,,,,,,,,,,,
,23,,,1.5160,,,,,,191.8,,,0.0000,,,,20.7,,,12.7,,,,,,,,,,,,
