Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm
RH;CH, Blank, no dye, 0.0000, Blank, 0.0000, 0.0002, 0.0003
RH;CH, P-0049-1-P1-3, no dye, 0.0000, Measurement 1, 0.0532, 0.0444, 0.1186
RH;CH, P-0049-1-P1-3, m-cresol added, 0.0000, Measurement 2, 0.6531, 0.8340, 0.1194
RH;CH, P-0049-1-P2-E, no dye, 0.0000, Measurement 1, 0.0788, 0.0650, 0.1400
RH;CH, P-0049-1-P2-E, m-cresol added, 0.0000, Measurement 2, 0.6662, 0.8325, 0.1388
RH;CH, P-0049-2-P1-D, no dye, 0.0000, Measurement 1, 0.0647, 0.0545, 0.1276
RH;CH, P-0049-2-P1-D, m-cresol added, 0.0000, Measurement 2, 0.6378, 0.8669, 0.1279
RH;CH, P-0049-2-P2-C, no dye, 0.0000, Measurement 1, 0.1038, 0.0862, 0.1549
RH;CH, P-0049-2-P2-C, m-cresol added, 0.0000, Measurement 2, 0.6827, 0.9068, 0.1577
RH;CH, M-0037-1-P1-4, no dye, 0.0000, Measurement 1, 0.0493, 0.0414, 0.1167
RH;CH, M-0037-1-P1-4, m-cresol added, 0.0000, Measurement 2, 0.6085, 0.8413, 0.1168
RH;CH, M-0037-1-P2-G, no dye, 0.0000, Measurement 1, 0.1317, 0.1126, 0.1792
RH;CH, M-0037-1-P2-G, m-cresol added, 0.0000, Measurement 2, 0.6919, 0.9156, 0.1781
RH;CH, M-0037-2-P1-1, no dye, 0.0000, Measurement 1, 0.0512, 0.0428, 0.1176
RH;CH, M-0037-2-P1-1, m-cresol added, 0.0000, Measurement 2, 0.6225, 0.8726, 0.1182
RH;CH, M-0037-2-P2-B, no dye, 0.0000, Measurement 1, 0.1361, 0.1164, 0.1845
RH;CH, M-0037-2-P2-B, m-cresol added, 0.0000, Measurement 2, 0.6854, 0.9098, 0.1865
RH;CH, BAYSTD1-10202020, no dye, 0.0000, Measurement 1, 1.4014, 1.1766, 1.0957
RH;CH, BAYSTD1-10202020, m-cresol added, 0.0000, Measurement 2, 1.9990, 2.0334, 1.1092
