"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"CH"," Blank"," no dye",0," Blank",0,0,-1e-04,0,NA,NA,NA,NA,NA,NA,NA,NA
"CH"," BI-0035-1-P1-D"," no dye",0," Measurement 1",0.0472,0.0389,0.115,0,31.48,16.4,1.4505321933345,1.45759045192811,7.98927131659357,7.86517752726652,7.99159066277617,7.86749687344912
"CH"," BI-0035-1-P1-D"," m-cresol added",0," Measurement 2",0.6211,0.871,0.1158,80,31.48,16.4,NA,NA,NA,NA,NA,NA
"CH"," BI-0035-1-P2-C"," no dye",0," Measurement 1",0.1155,0.098,0.1689,0,31.48,16.4,1.44549518569464,1.4524942090784,7.98760986899133,7.86351607966428,7.98991706380308,7.86582327447603
"CH"," BI-0035-1-P2-C"," m-cresol added",0," Measurement 2",0.697,0.9386,0.1688,80,31.48,16.4,NA,NA,NA,NA,NA,NA
"CH"," M-0044-1-P1-4"," no dye",0," Measurement 1",0.0561,0.0458,0.1201,0,31.28430305,16.17393697,1.23121102723991,1.23569006892025,7.91527642500389,7.78782114750834,7.91698818626187,7.78953290876632
"CH"," M-0044-1-P1-4"," m-cresol added",0," Measurement 2",0.6664,0.797,0.121,80,31.28430305,16.17393697,NA,NA,NA,NA,NA,NA
"CH"," M-0044-1-P2-G"," no dye",0," Measurement 1",0.316,0.2708,0.3176,0,31.28430305,16.17393697,1.23517961422757,1.23970532649089,7.91679339540944,7.78933811791388,7.91851782717426,7.79106254967871
"CH"," M-0044-1-P2-G"," m-cresol added",0," Measurement 2",0.8869,0.9746,0.3234,80,31.28430305,16.17393697,NA,NA,NA,NA,NA,NA
"CH"," P-0035-2-P1-B"," no dye",0," Measurement 1",0.0531,0.0443,0.1198,0,31.23176915,15.3563308,1.19820846905537,1.20229940065147,7.91479525175203,7.77513844053108,7.9163987372546,7.77674192603366
"CH"," P-0035-2-P1-B"," m-cresol added",0," Measurement 2",0.6684,0.7813,0.1211,80,31.23176915,15.3563308,NA,NA,NA,NA,NA,NA
"CH"," P-0035-2-P2-1"," no dye",0," Measurement 1",0.1295,0.113,0.1801,0,31.23176915,15.3563308,1.19822437449556,1.20231549313963,7.91480149589958,7.77514468467864,7.9164050348752,7.77674822365426
"CH"," P-0035-2-P2-1"," m-cresol added",0," Measurement 2",0.7468,0.8531,0.1779,80,31.23176915,15.3563308,NA,NA,NA,NA,NA,NA
"CH"," P-0036B-1-P1-E"," no dye",0," Measurement 1",0.0732,0.0632,0.136,0,31.55,16.32,1.40855762594893,1.41512226363009,7.97630367026156,7.85102090562878,7.97851950046518,7.85323673583241
"CH"," P-0036B-1-P1-E"," m-cresol added",0," Measurement 2",0.6532,0.88,0.1364,80,31.55,16.32,NA,NA,NA,NA,NA,NA
"CH"," P-0036B-1-P2-3"," no dye",0," Measurement 1",0.0882,0.0676,0.1368,0,31.55,16.32,1.26033538103935,1.26515692512037,7.92357232127329,7.79828955664051,7.92537540918908,7.8000926445563
"CH"," P-0036B-1-P2-3"," m-cresol added",0," Measurement 2",0.6882,0.8244,0.1345,80,31.55,16.32,NA,NA,NA,NA,NA,NA
"CH"," BAY-STD1-10202020-2"," no dye",0," Measurement 1",0.2819,0.2471,0.2993,0,27.53,11.92,1.40613432046536,1.41267046007404,8.0503868559861,7.85868275979455,8.0525965489034,7.86089245271185
"CH"," BAY-STD1-10202020-2"," m-cresol added",0," Measurement 2",0.8412,1.0368,0.2913,80,27.53,11.92,NA,NA,NA,NA,NA,NA
