"Analyst","Sample.ID","Sample.Tag","Notes1","Type","X434.nm","X578.nm","X730.nm","dyeV","salinity","temperature","a1a2","a1a2crct","pH_is","pH_a","pH_is_crct","pH_a_crct"
"EMax"," Blank"," no dye",0," Blank",0,0,3e-04,0,NA,NA,NA,NA,NA,NA,NA,NA
"EMax"," P-0036B-1-1-3-D"," no dye",0," Measurement 1",0.2974,0.2581,0.3078,0,31.55,16.32,1.6793966011075,1.68914630513653,8.06079150855997,7.9355087439272,8.06359795870478,7.938315194072
"EMax"," P-0036B-1-1-3-D"," m-cresol added",0," Measurement 2",0.8376,1.1541,0.3243,80,31.55,16.32,NA,NA,NA,NA,NA,NA
"EMax"," P-0046-1-1-1-C"," no dye",0," Measurement 1",0.0471,0.0389,0.1152,0,31.21363578,16.35879015,1.30820265379976,1.31358711700844,7.94133098645898,7.81662481051918,7.94327630561518,7.81857012967537
"EMax"," P-0046-1-1-1-C"," m-cresol added",0," Measurement 2",0.5474,0.6925,0.1181,80,31.21363578,16.35879015,NA,NA,NA,NA,NA,NA
"EMax"," P-0046-1-1-2-1"," no dye",0," Measurement 1",0.065,0.0523,0.1263,0,31.21363578,16.35879015,1.31287297527707,1.31831236146633,7.9430187202417,7.81831254430189,7.94497742601605,7.82027125007624
"EMax"," P-0046-1-1-2-1"," m-cresol added",0," Measurement 2",0.6518,0.8226,0.1266,80,31.21363578,16.35879015,NA,NA,NA,NA,NA,NA
"EMax"," B-0038-1-1-G"," no dye",0," Measurement 1",0.0521,0.0425,0.118,0,31.16007954,16.75900601,1.38208122712219,1.38833450235315,7.96157622807303,7.84280997508771,7.96372400233947,7.84495774935416
"EMax"," B-0038-1-1-G"," m-cresol added",0," Measurement 2",0.6283,0.8379,0.1205,80,31.16007954,16.75900601,NA,NA,NA,NA,NA,NA
"EMax"," B-0038-1-1-E"," no dye",0," Measurement 1",0.0533,0.0435,0.1192,0,31.16007954,16.75900601,1.46832054256648,1.47558799214706,7.9904445867072,7.87167833372188,7.9928062797602,7.87404002677488
"EMax"," B-0038-1-1-E"," m-cresol added",0," Measurement 2",0.6132,0.8658,0.1188,80,31.16007954,16.75900601,NA,NA,NA,NA,NA,NA
"EMax"," P-0035-1-1-2-4"," no dye",0," Measurement 1",0.0532,0.043,0.1178,0,31.1392264,15.34388036,1.46760101929377,1.47486000728067,8.01133108396167,7.87148793418495,8.01369108097839,7.87384793120167
"EMax"," P-0035-1-1-2-4"," m-cresol added",0," Measurement 2",0.602,0.8487,0.1172,80,31.1392264,15.34388036,NA,NA,NA,NA,NA,NA
"EMax"," P-0035-1-1-2-3"," no dye",0," Measurement 1",0.0618,0.0485,0.1232,0,31.1392264,15.34388036,1.38819660782278,1.39452179993077,7.98479763293499,7.84495448315827,7.98696132482559,7.84711817504887
"EMax"," P-0035-1-1-2-3"," m-cresol added",0," Measurement 2",0.6402,0.8512,0.1238,80,31.1392264,15.34388036,NA,NA,NA,NA,NA,NA
"EMax"," P-0046-2-2-1-B"," no dye",0," Measurement 1",0.0498,0.0398,0.1152,0,30.99504858,16.51782816,1.195,1.1990532,7.8967205664479,7.7743767658092,7.89831323906636,7.77596943842765
"EMax"," P-0046-2-2-1-B"," m-cresol added",0," Measurement 2",0.6703,0.7812,0.1157,80,30.99504858,16.51782816,NA,NA,NA,NA,NA,NA
"EMax"," P-0046-2-2-2-2"," no dye",0," Measurement 1",0.0529,0.0442,0.1203,0,30.99504858,16.51782816,1.20864847089773,1.21286217691549,7.90206379463279,7.77971999399408,7.90370210606497,7.78135830542627
"EMax"," P-0046-2-2-2-2"," m-cresol added",0," Measurement 2",0.6579,0.7761,0.1171,80,30.99504858,16.51782816,NA,NA,NA,NA,NA,NA
