Date,Time,Temp,SpCond,Cond,Resist,TDS,Sal,Press,Depth,pH,pH,Turbid+,Chl,Chl,ODOsat,ODO,Battery
M/D/Y,HH:MM:SS,C,uS,mS,MOhm*cm,g/L,ppt,psir,meters,,mV,NTU,ug/L,RFU,%,mg/L,volts
2020/05/14,22:07:33,18.14,19506,16.94,0,12.67,11.65,2.364,1.653,7.67,-99.4,17.2,1.84,0.38,91,8.01,14.5
2020/05/14,22:13:33,18.14,19692,17.11,0,12.79,11.77,2.395,1.675,7.69,-100.3,16.4,1.18,0.24,91.4,8.04,14.5
2020/05/14,22:19:32,18.18,19171,16.67,0,12.46,11.44,2.427,1.698,7.7,-100.9,15.7,1.35,0.28,88.8,7.83,14.5
2020/05/14,22:25:31,18.19,19307,16.79,0,12.54,11.52,2.463,1.722,7.7,-101.1,15.7,1.22,0.25,87.1,7.67,14.7
2020/05/14,22:31:30,18.2,19140,16.65,0,12.44,11.41,2.5,1.749,7.71,-101.4,15.6,1.41,0.29,89,7.83,14.4
2020/05/14,22:37:30,18.2,19306,16.8,0,12.54,11.52,2.537,1.774,7.71,-101.9,16.3,1.04,0.22,90.6,7.97,14.5
2020/05/14,22:43:30,18.21,19172,16.68,0,12.46,11.44,2.578,1.802,7.7,-100.8,14.4,1.32,0.27,86.2,7.59,14.5
2020/05/14,22:49:30,18.24,19078,16.61,0,12.4,11.37,2.625,1.835,7.7,-101.1,14.2,0.97,0.2,85.9,7.56,14.5
2020/05/14,22:55:30,18.25,19014,16.56,0,12.35,11.33,2.666,1.865,7.7,-100.8,14.5,1.9,0.4,85.5,7.53,14.5
2020/05/14,23:01:29,18.26,18911,16.47,0,12.29,11.27,2.716,1.9,7.71,-101.3,14.6,1.74,0.36,88.2,7.76,14.5
2020/05/14,23:07:30,18.27,18901,16.47,0,12.28,11.26,2.767,1.936,7.71,-101.4,14.1,1.26,0.26,86.3,7.59,14.5
2020/05/14,23:13:29,18.27,19031,16.58,0,12.37,11.34,2.817,1.97,7.7,-101.2,14.5,1.57,0.33,88.1,7.76,14.5
2020/05/14,23:19:29,18.28,18738,16.33,0,12.17,11.15,2.861,2.001,7.72,-102.4,14.8,1.45,0.3,87,7.66,14.5
2020/05/14,23:25:29,18.29,18708,16.3,0,12.16,11.13,2.912,2.037,7.72,-102.1,15.4,1.39,0.29,84.3,7.42,14.5
2020/05/14,23:31:29,18.3,18559,16.18,0,12.06,11.04,2.957,2.068,7.71,-101.7,17.9,1.65,0.34,88.2,7.77,14.5
2020/05/14,23:37:29,18.3,18481,16.11,0,12.01,10.99,3.006,2.103,7.71,-101.6,15.5,1.78,0.37,88,7.76,14.5
2020/05/14,23:43:29,18.29,18780,16.37,0,12.2,11.18,3.037,2.124,7.7,-101,16.7,0.98,0.2,87.8,7.73,14.5
2020/05/14,23:49:29,18.3,18625,16.24,0,12.1,11.08,3.093,2.163,7.71,-101.6,18.1,1.56,0.32,89.3,7.86,14.6
2020/05/14,23:55:29,18.32,19337,16.87,0,12.56,11.54,3.134,2.191,7.71,-101.7,19.1,1.28,0.27,90,7.9,14.5
2020/05/15,0:01:29,18.42,19689,17.21,0,12.79,11.77,3.184,2.226,7.73,-102.6,24.6,1.8,0.37,90.6,7.93,14.5
2020/05/15,0:07:29,18.47,19860,17.38,0,12.9,11.88,3.228,2.257,7.72,-102.4,21.9,1.5,0.31,90,7.86,14.5
2020/05/15,0:13:29,18.51,20499,17.95,0,13.32,12.3,3.275,2.289,7.72,-102.5,30.9,2.07,0.43,89.3,7.77,14.6
2020/05/15,0:19:30,18.52,20670,18.11,0,13.43,12.41,3.323,2.322,7.71,-101.7,26.6,1.58,0.33,86.6,7.53,14.6
2020/05/15,0:25:29,18.5,20803,18.22,0,13.52,12.5,3.37,2.355,7.71,-101.7,29.2,2.18,0.45,89,7.75,14.5
2020/05/15,0:31:29,18.52,20834,18.25,0,13.54,12.52,3.418,2.388,7.71,-101.6,29.9,1.67,0.35,88.9,7.73,14.5
2020/05/15,0:37:30,18.5,20466,17.92,0,13.3,12.28,3.467,2.423,7.72,-102.3,22.9,1.56,0.32,89.3,7.78,14.5
2020/05/15,0:43:30,18.55,20378,17.86,0,13.24,12.22,3.508,2.452,7.74,-103.5,23.6,1.29,0.27,90.6,7.88,14.5
2020/05/15,0:49:29,18.52,20268,17.76,0,13.17,12.15,3.547,2.479,7.75,-104.2,18.8,1.34,0.28,90.3,7.87,14.5
2020/05/15,0:55:29,18.53,20153,17.66,0,13.09,12.07,3.594,2.512,7.76,-104.5,17.7,1.61,0.33,90,7.84,14.5
2020/05/15,1:01:29,18.48,20004,17.51,0,13,11.97,3.632,2.539,7.75,-104,16.9,1.92,0.4,91.2,7.96,14.5
2020/05/15,1:07:29,18.46,19809,17.33,0,12.87,11.85,3.675,2.569,7.76,-104.4,18,1.72,0.36,92.8,8.11,14.5
2020/05/15,1:13:29,18.44,19780,17.3,0,12.85,11.83,3.712,2.595,7.75,-104.1,19.5,1.86,0.39,93,8.13,14.5
2020/05/15,1:19:29,18.44,19507,17.06,0,12.68,11.65,3.76,2.629,7.76,-104.3,18.9,1.8,0.37,93,8.14,14.5
2020/05/15,1:25:29,18.43,19350,16.92,0,12.57,11.55,3.796,2.654,7.76,-104.4,18.9,1.62,0.33,93.2,8.17,14.5
2020/05/15,1:31:29,18.42,19163,16.75,0,12.45,11.43,3.834,2.681,7.76,-104.4,16.9,1.79,0.37,93,8.16,14.4
2020/05/15,1:37:29,18.41,18945,16.56,0,12.31,11.29,3.881,2.714,7.76,-104.4,16.6,1.78,0.37,92.3,8.1,14.5
2020/05/15,1:43:29,18.41,18760,16.39,0,12.19,11.17,3.91,2.735,7.76,-104.9,16,1.18,0.24,92.8,8.15,14.5
2020/05/15,1:49:29,18.39,18629,16.27,0,12.1,11.08,3.959,2.769,7.77,-105.2,13.3,1.29,0.27,92.4,8.12,14.5
2020/05/15,1:55:29,18.37,18781,16.4,0,12.2,11.18,3.998,2.796,7.77,-105.3,11,1.5,0.31,93.2,8.2,14.7
2020/05/15,2:01:29,18.39,18960,16.56,0,12.32,11.3,4.041,2.827,7.77,-105,15.3,1.54,0.32,93.2,8.19,14.4
2020/05/15,2:07:29,18.32,18885,16.47,0,12.27,11.25,4.076,2.851,7.77,-105,11.7,1.8,0.37,90.8,7.99,14.5
2020/05/15,2:13:29,18.32,19116,16.67,0,12.42,11.4,4.106,2.871,7.76,-104.4,14,0.85,0.17,89.1,7.82,14.5
2020/05/15,2:19:29,18.29,19269,16.8,0,12.52,11.5,4.136,2.892,7.76,-104.4,11.9,1.12,0.23,90,7.91,14.5
2020/05/15,2:25:29,18.25,19685,17.14,0,12.79,11.77,4.168,2.914,7.75,-103.9,9.1,0.77,0.16,87.7,7.7,14.6
2020/05/15,2:31:29,18.22,20188,17.57,0,13.12,12.1,4.197,2.934,7.75,-103.9,10,1.66,0.35,88.6,7.77,14.6
2020/05/15,2:37:29,18.2,20679,17.99,0,13.44,12.42,4.229,2.955,7.75,-104.2,10.3,1.52,0.32,88.3,7.73,14.6
2020/05/15,2:43:29,18.21,20933,18.21,0,13.6,12.58,4.262,2.978,7.75,-104.1,12.2,1.35,0.28,89.7,7.85,14.6
