"Date","Time","Temp","SpCond","Cond","Resist","Sal","Press","Depth","pH","pH","Turbid+","Chl","Chl","TDS","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","ppt","psir","meters","","mV","NTU","ug/L","RFU","g/L","%","mg/L","volts"
"2020/07/14","23:43:39",21.65,30054,28129,35.5500,18.66,3.759,2.617,7.76,-115.2,7.1,2.23,0.46,19.53,105.3,8.31,14.4
"2020/07/14","23:49:32",21.68,29847,27954,35.7729,18.51,3.799,2.644,7.79,-116.9,7.0,2.75,0.57,19.40,105.7,8.35,14.5
"2020/07/14","23:55:31",21.69,29711,27832,35.9304,18.42,3.840,2.674,7.79,-117.2,8.8,2.47,0.51,19.31,105.6,8.34,14.5
"2020/07/15","00:01:31",21.71,29448,27600,36.2317,18.24,3.869,2.694,7.81,-117.9,7.8,3.27,0.68,19.14,106.5,8.42,14.5
"2020/07/15","00:07:32",21.75,29160,27351,36.5622,18.05,3.910,2.723,7.81,-118.3,6.5,2.98,0.62,18.95,107.2,8.48,14.5
"2020/07/15","00:13:31",21.79,28475,26728,37.4139,17.58,3.945,2.749,7.82,-119.0,5.0,3.31,0.69,18.50,107.6,8.53,14.5
"2020/07/15","00:19:30",21.78,28253,26518,37.7108,17.43,3.993,2.782,7.82,-119.0,6.8,3.94,0.82,18.36,107.8,8.56,14.5
"2020/07/15","00:25:30",21.78,27935,26219,38.1406,17.22,4.022,2.803,7.83,-119.3,6.8,4.32,0.90,18.15,108.2,8.59,14.5
"2020/07/15","00:31:30",21.77,27851,26132,38.2675,17.16,4.074,2.839,7.83,-119.5,9.0,5.15,1.07,18.10,108.1,8.60,14.5
"2020/07/15","00:37:30",21.76,27650,25940,38.5498,17.02,4.100,2.857,7.84,-119.8,10.0,5.15,1.07,17.97,108.3,8.61,14.5
"2020/07/15","00:43:30",21.76,27313,25622,39.0288,16.80,4.128,2.877,7.84,-120.1,8.5,5.25,1.09,17.75,108.3,8.63,14.4
"2020/07/15","00:49:30",21.74,27233,25538,39.1572,16.74,4.170,2.907,7.84,-120.1,7.0,4.73,0.99,17.70,108.2,8.62,14.5
"2020/07/15","00:55:30",21.73,27314,25606,39.0534,16.80,4.196,2.925,7.85,-120.2,7.3,4.56,0.95,17.75,108.2,8.63,14.5
"2020/07/15","01:01:30",21.72,27337,25623,39.0281,16.81,4.223,2.944,7.85,-120.5,9.1,5.14,1.07,17.76,108.3,8.64,14.5
"2020/07/15","01:07:30",21.69,27557,25814,38.7387,16.96,4.264,2.972,7.84,-120.2,18.2,5.29,1.10,17.91,107.8,8.59,14.5
"2020/07/15","01:13:30",21.65,27774,25998,38.4651,17.11,4.293,2.991,7.84,-119.8,13.3,5.13,1.07,18.05,107.5,8.57,14.5
"2020/07/15","01:19:30",21.63,27799,26010,38.4463,17.12,4.323,3.013,7.84,-119.7,10.1,5.45,1.13,18.07,107.3,8.55,14.5
"2020/07/15","01:25:30",21.59,27634,25833,38.7109,17.01,4.358,3.037,7.83,-119.4,9.1,5.07,1.06,17.96,107.4,8.57,14.5
"2020/07/15","01:31:30",21.56,27463,25656,38.9768,16.90,4.391,3.060,7.83,-119.2,9.7,4.33,0.90,17.85,106.4,8.50,14.5
"2020/07/15","01:37:30",21.54,27451,25637,39.0065,16.89,4.418,3.079,7.82,-118.9,10.0,4.36,0.91,17.84,105.8,8.46,14.5
"2020/07/15","01:43:30",21.52,27462,25634,39.0102,16.90,4.440,3.095,7.82,-118.6,12.4,4.10,0.85,17.85,105.0,8.40,14.5
"2020/07/15","01:49:30",21.50,27506,25666,38.9620,16.93,4.471,3.116,7.81,-118.2,11.7,3.57,0.74,17.87,104.7,8.37,14.5
"2020/07/15","01:55:30",21.49,27490,25645,38.9939,16.92,4.504,3.139,7.81,-118.2,11.2,3.64,0.76,17.86,104.6,8.37,14.5
"2020/07/15","02:01:30",21.48,27495,25646,38.9931,16.92,4.531,3.158,7.81,-118.2,11.8,3.29,0.69,17.87,104.2,8.34,14.5
"2020/07/15","02:07:30",21.44,27489,25618,39.0348,16.92,4.560,3.178,7.81,-118.0,8.8,2.42,0.50,17.86,103.7,8.30,14.5
"2020/07/15","02:13:30",21.43,27494,25619,39.0333,16.92,4.580,3.192,7.80,-117.7,8.7,2.49,0.52,17.87,103.4,8.29,14.5
"2020/07/15","02:19:30",21.45,27511,25644,38.9961,16.93,4.599,3.205,7.80,-117.8,9.2,2.85,0.59,17.88,103.8,8.31,14.5
