Date,Time,Temp,SpCond,Cond,Resist,Sal,Press,Depth,pH,pH,Turbid+,Chl,Chl,TDS,ODOsat,ODO,Battery
Y/M/D,HH:MM:SS,C,uS,uS,Ohm*cm,ppt,psir,meters,,mV,NTU,ug/L,RFU,g/L,%,mg/L,volts
10/15/2020,2:01:28,19.74,33871,30470,32.8189,21.3,2.79,1.937,7.82,-60.9,7.3,1.16,0.24,22.01,94.3,7.6,14.5
10/15/2020,2:07:28,19.75,33681,30307,32.996,21.16,2.814,1.954,7.82,-61.1,6.5,1.14,0.24,21.89,94.4,7.61,14.5
10/15/2020,2:13:28,19.77,33464,30119,33.2014,21.01,2.839,1.972,7.82,-61.1,7,1.02,0.21,21.75,94.5,7.62,14.4
10/15/2020,2:19:28,19.78,33163,29858,33.4919,20.81,2.873,1.996,7.82,-61.2,6.7,1.13,0.24,21.55,94.6,7.64,14.5
10/15/2020,2:25:28,19.8,32879,29614,33.768,20.61,2.912,2.023,7.82,-61.2,6.7,1.09,0.23,21.37,94.6,7.65,14.4
10/15/2020,2:31:28,19.81,32784,29532,33.8618,20.54,2.959,2.056,7.82,-61.2,6.1,1.18,0.24,21.3,94.6,7.65,14.5
10/15/2020,2:37:28,19.82,32601,29375,34.0419,20.42,3.005,2.088,7.82,-61.2,5.7,1.39,0.29,21.19,94.5,7.64,14.5
10/15/2020,2:43:28,19.85,32295,29119,34.3416,20.21,3.057,2.125,7.82,-61.3,5.7,0.92,0.19,20.99,94.8,7.67,14.5
10/15/2020,2:49:28,19.88,32076,28936,34.5589,20.06,3.116,2.165,7.82,-61.4,5.6,1.57,0.33,20.84,94.9,7.68,14.5
10/15/2020,2:55:28,19.9,31868,28761,34.769,19.91,3.168,2.202,7.83,-61.5,5.4,1,0.21,20.71,95.1,7.71,14.5
10/15/2020,3:01:28,19.94,31330,28304,35.3304,19.54,3.216,2.236,7.83,-61.6,5.1,0.87,0.18,20.36,95.4,7.74,14.5
10/15/2020,3:07:28,19.96,31016,28029,35.6775,19.33,3.271,2.274,7.83,-61.6,4.6,1.23,0.25,20.16,95.5,7.76,14.5
10/15/2020,3:13:28,19.97,30885,27917,35.8198,19.24,3.325,2.313,7.83,-61.6,12.9,1.11,0.23,20.07,95.7,7.77,14.5
10/15/2020,3:19:28,19.97,30733,27778,35.9993,19.13,3.383,2.353,7.83,-61.6,10.3,1.47,0.3,19.97,95.6,7.77,14.5
10/15/2020,3:25:29,19.95,30821,27847,35.9102,19.19,3.437,2.39,7.83,-61.5,4.5,0.89,0.19,20.03,95.5,7.76,14.5
10/15/2020,3:31:28,19.94,30794,27819,35.9462,19.18,3.492,2.429,7.83,-61.5,4,1.13,0.24,20.01,95.3,7.75,14.5
10/15/2020,3:37:28,19.94,30919,27931,35.8029,19.26,3.54,2.462,7.83,-61.4,4,0.89,0.19,20.09,95.3,7.74,14.5
10/15/2020,3:43:29,19.94,30898,27913,35.8261,19.25,3.594,2.5,7.82,-61.4,3.6,0.62,0.13,20.08,94.9,7.71,14.5
10/15/2020,3:49:28,19.89,31579,28496,35.0931,19.71,3.648,2.536,7.81,-60.5,3.1,0.89,0.19,20.52,92.8,7.53,14.5
10/15/2020,3:55:28,19.85,32062,28911,34.5887,20.05,3.698,2.57,7.82,-61,5.4,0.96,0.2,20.84,93.9,7.61,14.5
10/15/2020,4:01:29,19.86,32314,29140,34.3175,20.22,3.748,2.604,7.82,-61.1,4.5,1.06,0.22,21,94.2,7.62,14.4
10/15/2020,4:07:28,19.88,31801,28691,34.8542,19.87,3.798,2.64,7.82,-61.2,48.4,1.04,0.22,20.67,94.5,7.66,14.5
10/15/2020,4:13:29,19.86,32037,28893,34.6103,20.03,3.845,2.672,7.82,-61.2,4.3,1.23,0.25,20.82,94.4,7.65,14.5
10/15/2020,4:19:28,19.87,31884,28757,34.7737,19.92,3.89,2.704,7.82,-61.2,3.5,1.24,0.26,20.72,94.7,7.67,14.5
10/15/2020,4:25:29,19.85,31625,28513,35.072,19.75,3.938,2.737,7.82,-61.3,3.1,0.96,0.2,20.55,94.8,7.7,14.5
10/15/2020,4:31:28,19.81,31816,28665,34.8857,19.88,3.99,2.773,7.82,-61.3,2.6,1.03,0.21,20.68,94.7,7.68,14.5
10/15/2020,4:37:28,19.78,32204,28994,34.4903,20.14,3.969,2.759,7.82,-61.3,2.6,0.91,0.19,20.93,94.5,7.66,14.5
10/15/2020,4:43:29,19.78,32477,29242,34.1977,20.33,4.044,2.81,7.82,-61.2,2.8,0.99,0.21,21.11,94.5,7.65,14.5
10/15/2020,4:49:29,19.78,32410,29179,34.2715,20.29,4.1,2.849,7.82,-61.3,3.1,0.51,0.11,21.06,94.6,7.67,14.5
10/15/2020,4:55:28,19.79,32215,29008,34.4728,20.15,4.147,2.882,7.82,-61.3,3.4,0.73,0.15,20.94,94.7,7.68,14.5
10/15/2020,5:01:28,19.8,32095,28910,34.5905,20.07,4.185,2.909,7.82,-61.3,4.8,1.24,0.25,20.86,94.7,7.68,14.5
10/15/2020,5:07:28,19.82,32013,28845,34.6683,20.01,4.232,2.941,7.82,-61.2,5.3,0.82,0.17,20.8,94.5,7.66,14.5
10/15/2020,5:13:28,19.79,32123,28925,34.5718,20.09,4.268,2.966,7.82,-61.1,5.6,0.7,0.14,20.88,94.3,7.65,14.5
10/15/2020,5:19:28,19.75,32379,29132,34.3267,20.27,4.305,2.992,7.82,-61,5.9,0.83,0.17,21.04,93.8,7.6,14.5
10/15/2020,5:25:28,19.71,32851,29534,33.8596,20.59,4.334,3.011,7.81,-60.8,7.5,1.15,0.24,21.35,93.5,7.57,14.5
10/15/2020,5:31:28,19.69,33158,29793,33.5644,20.8,4.367,3.033,7.81,-60.6,7.7,1.38,0.29,21.55,93.2,7.54,14.5
10/15/2020,5:37:28,19.65,33188,29798,33.5589,20.82,4.399,3.056,7.81,-60.7,5.4,0.8,0.16,21.57,93.3,7.55,14.5
