"TOA5","CR1000","CR1000","51029","CR1000.Std.25","CPU:RTC_MET_new_2018.CR1","25262","Public"
"TIMESTAMP","RECORD","BattV","AirTC","RH","BP_mmHg","WS_ms","WindDir","PAR_Den","PAR_Tot","SlrkW","SlrMJ","Rain_mm"
"TS","RN","Volts","Deg C","%","mmHg","meters/second","Degrees","umol/s/m^2","mmol/m^2","kW/m^2","MJ/m^2","mm"
"","","","","","","","","","","","",""

"2019-12-27 02:11:07.46",10875308,13.43682,10.83382,57.49164,760.8521,1.1,278.7871,0.8610988,0.004305492,0,0,0
"2019-12-27 02:17:07.45",10875380,13.43757,10.51271,58.32571,760.8149,1.25,260.4534,0.8611064,0.004305531,0,0,0
"2019-12-27 02:23:07.46",10875452,13.44348,10.78495,57.23922,760.9116,0,255.7686,0.8610833,0.004305415,0,0,0
"2019-12-27 02:29:07.46",10875524,13.44393,10.88864,56.73166,761.1101,1.1,284.9308,0.861097,0.004305484,0,0,0
"2019-12-27 02:35:07.46",10875596,13.44988,10.65269,57.99071,761.1683,1.25,305.892,0.8611089,0.004305543,0,0,0
"2019-12-27 02:41:07.45",10875668,13.45005,10.65345,56.76856,761.3137,1.25,276.5745,0.8611199,0.004305598,0,0,0
"2019-12-27 02:47:07.51",10875740,13.45012,10.75525,56.08896,761.3129,0.8,313.6927,0.8611526,0.004305762,0,0,0
"2019-12-27 02:53:07.45",10875812,13.45015,10.68769,55.85158,761.2684,1.25,263.8043,0.8611645,0.00430582,0,0,0
"2019-12-27 02:59:07.46",10875884,13.45016,10.95964,54.56078,761.41,0.95,315.5377,0.8611507,0.004305752,0,0,0
"2019-12-27 03:05:07.46",10875956,13.45017,10.77286,55.83485,761.5042,0.95,318.5995,0.8611862,0.004305929,0,0,0
"2019-12-27 03:11:07.46",10876028,13.4557,10.33123,59.63987,761.5044,0,299.6334,0.8612259,0.004306128,0,0,0
"2019-12-27 03:17:07.45",10876100,13.4557,10.1104,60.06454,761.5044,0,281.6478,0.8612387,0.004306192,0,0,0
"2019-12-27 03:23:07.45",10876172,13.46123,10.00848,62.5106,761.5044,0,272.1288,0.8612646,0.004306321,0,0,0
"2019-12-27 03:29:07.45",10876244,13.46676,9.872589,59.18123,761.5513,0,258.0177,0.8612641,0.004306319,0,0,0
"2019-12-27 03:35:07.45",10876316,13.4723,9.940536,57.34668,761.4575,0.8,303.2927,0.8612787,0.004306392,0,0,0
"2019-12-27 03:41:07.46",10876388,13.46123,10.3652,54.57787,761.4575,0,258.5199,0.861294,0.004306469,0,0,0
"2019-12-27 03:47:07.46",10876460,13.48382,10.60301,52.06386,761.5513,0,292.0278,0.8613083,0.00430654,0,0,0
"2019-12-27 03:53:07.45",10876532,13.47249,11.28318,47.98774,761.5087,2.6,267.2533,0.86133,0.004306649,0,0,0
"2019-12-27 03:59:07.45",10876604,13.46737,11.52216,45.81446,761.5157,1.7,306.6762,0.8613344,0.00430667,0,0,0
"2019-12-27 04:05:07.45",10876676,13.46148,11.50407,46.442,761.6497,1.25,298.0833,0.8613381,0.004306689,0,0,0
"2019-12-27 04:11:07.45",10876748,13.46132,11.28318,47.54609,761.6025,1.7,241.4704,0.8613178,0.004306588,0,0,0
"2019-12-27 04:17:07.44",10876820,13.46127,10.94359,48.32762,761.6033,1.4,263.7621,0.8612908,0.004306452,0,0,0
"2019-12-27 04:23:07.44",10876892,13.46125,11.14694,47.03616,761.741,0.95,303.9645,0.8612801,0.004306399,0,0,0
"2019-12-27 04:29:07.45",10876964,13.46124,10.87495,46.69624,761.6929,0.8,284.3034,0.8612552,0.004306274,0,0,0
"2019-12-27 04:35:07.45",10877036,13.46124,11.01076,44.1142,761.6924,1.7,263.3516,0.8612382,0.00430619,0,0,0
"2019-12-27 04:41:07.5",10877108,13.4616,10.68798,45.86379,761.7391,0.35,262.6099,0.8612403,0.0043062,0,0,0
"2019-12-27 04:47:07.56",10877180,13.46138,10.75591,44.23307,761.8327,1.25,251.9189,0.8612497,0.004306247,0,0,0
"2019-12-27 04:53:07.57",10877252,13.4613,10.68797,44.64074,761.8796,0.8,260.8878,0.8612626,0.004306311,0,0,0
"2019-12-27 04:59:07.57",10877324,13.46725,10.75591,44.33498,761.8796,1.1,259.2136,0.8612601,0.004306299,0,0,0
"2019-12-27 05:05:07.58",10877396,13.46143,10.92578,44.23307,761.9265,1.1,239.6255,0.8612553,0.004306275,0,0,0
"2019-12-27 05:11:07.45",10877468,13.46685,10.5181,45.99967,761.8796,1.4,286.8379,0.8612804,0.0043064,0,0,0
"2019-12-27 05:17:07.45",10877540,13.46679,10.85783,44.64074,761.8796,1.1,256.5349,0.8612707,0.004306352,0,0,0
"2019-12-27 05:23:07.44",10877612,13.46678,10.67098,46.52625,761.9265,0,323.2158,0.8612629,0.004306313,0,0,0
"2019-12-27 05:29:07.44",10877684,13.4723,9.193817,54.96933,761.8838,0,223.8433,0.8612524,0.00430626,0,0,0
"2019-12-27 05:35:07.44",10877756,13.47267,9.17643,53.32118,761.8813,0,256.9668,0.8612632,0.004306315,0,0,0
"2019-12-27 05:41:07.44",10877828,13.47798,8.83696,53.21955,761.8361,1.25,237.2124,0.8612624,0.00430631,0,0,0
"2019-12-27 05:47:07.43",10877900,13.47859,9.552567,51.14939,761.9904,0,290.7283,0.8612897,0.004306447,0,0,0
"2019-12-27 05:53:07.51",10877972,13.4842,9.725292,52.74924,762.1021,0,261.3236,0.8613207,0.004306602,0,0,0
"2019-12-27 05:59:07.44",10878044,13.48506,9.794952,51.4259,762.1127,0,261.1651,0.8613458,0.004306728,0,0,0
"2019-12-27 06:05:07.44",10878116,13.48541,9.285969,53.05759,762.2578,1.4,232.0809,2.584122,0.01292061,0,0,0
"2019-12-27 06:11:07.44",10878188,13.49109,9.084164,55.33649,762.2241,1.25,223.742,0.8613929,0.004306963,0,0,0
"2019-12-27 06:17:07.43",10878260,13.49115,8.845364,56.72858,762.1243,1.4,229.1678,0.8614155,0.004307076,0,0,0
"2019-12-27 06:23:07.43",10878332,13.49136,8.863171,58.24164,762.0826,0,271.5134,0.8614293,0.004307145,0.0002017203,1.008602E-006,0
