============================================================================================================================
      Date     Time  Temp SpCond   Cond  Resist   TDS    Sal   Depth    pH      pH   Chl   Chl Turbid+ ODOsat    ODO Battery
     y/m/d hh:mm:ss     C  uS/cm  uS/cm  Ohm*cm   g/L    ppt  meters            mV  ug/L   RFU     NTU      %   mg/L   volts
----------------------------------------------------------------------------------------------------------------------------
2019/11/20 23:19:12 14.01  43171  34108 29.3183 28.06  27.81   1.071  7.74   -61.5   0.6   0.1     7.9   91.4   7.93    12.4
2019/11/20 23:25:12 14.00  43185  34109 29.3175 28.07  27.82   1.123  7.75   -61.7   0.7   0.2     6.5   91.2   7.92    12.4
2019/11/20 23:31:12 14.00  43207  34126 29.3032 28.08  27.83   1.134  7.75   -62.1   0.4   0.1     6.2   91.4   7.93    12.5
2019/11/20 23:37:12 14.00  43183  34111 29.3158 28.07  27.82   1.137  7.76   -62.4   0.9   0.2     5.1   91.4   7.93    12.4
2019/11/20 23:43:12 13.99  43187  34104 29.3216 28.07  27.82   1.141  7.76   -62.5   0.9   0.2     5.3   91.3   7.93    12.4
2019/11/20 23:49:12 13.97  43201  34100 29.3258 28.08  27.83   1.154  7.76   -62.6   0.5   0.1     5.4   91.4   7.93    12.4
2019/11/20 23:55:12 13.96  43203  34097 29.3284 28.08  27.83   1.162  7.76   -62.7   1.2   0.3     5.8   91.5   7.95    12.4
2019/11/21 00:01:13 13.97  43181  34083 29.3401 28.07  27.81   1.173  7.77   -62.8   1.2   0.3     4.5   91.3   7.93    12.5
2019/11/21 00:07:13 13.97  43183  34086 29.3376 28.07  27.81   1.184  7.77   -62.9   0.3   0.1     4.3   90.9   7.90    12.5
2019/11/21 00:13:13 13.95  43300  34160 29.2739 28.15  27.90   1.198  7.77   -62.9   0.7   0.2     4.9   91.1   7.91    12.5
2019/11/21 00:19:13 13.96  43207  34101 29.3250 28.08  27.83   1.213  7.77   -63.0   1.1   0.3     5.0   91.3   7.93    12.4
2019/11/21 00:25:13 13.93  43646  34414 29.0579 28.37  28.14   1.226  7.78   -63.4   0.3   0.1     5.3   91.3   7.92    12.3
2019/11/21 00:31:13 13.88  43894  34573 28.9241 28.53  28.32   1.239  7.78   -63.5   2.0   0.5     5.5   91.5   7.93    12.5
2019/11/21 00:37:13 13.85  44165  34762 28.7673 28.71  28.51   1.261  7.79   -63.9   1.4   0.3     4.7   91.8   7.95    12.5
2019/11/21 00:43:13 13.84  44277  34842 28.7012 28.78  28.59   1.289  7.79   -64.1   2.2   0.5     3.9   91.9   7.96    12.4
2019/11/21 00:49:13 13.82  44497  34999 28.5722 28.92  28.75   1.313  7.79   -64.3   1.0   0.2     3.8   92.4   8.00    12.4
2019/11/21 00:55:13 13.84  44352  34898 28.6546 28.83  28.65   1.336  7.79   -64.3   0.8   0.2     3.8   92.6   8.02    12.5
2019/11/21 01:01:13 13.84  44392  34927 28.6313 28.85  28.68   1.357  7.79   -64.3   2.2   0.5     3.4   92.2   7.99    12.5
2019/11/21 01:07:13 13.83  44483  34989 28.5802 28.91  28.74   1.383  7.80   -64.5   1.2   0.3     3.2   92.1   7.98    12.5
2019/11/21 01:13:13 13.82  44538  35026 28.5499 28.95  28.78   1.403  7.79   -64.3   0.3   0.1     3.4   92.2   7.98    12.5
2019/11/21 01:19:13 13.80  44689  35127 28.4682 29.05  28.89   1.423  7.79   -64.5   2.4   0.6     3.7   92.0   7.97    12.4
2019/11/21 01:25:13 13.70  45195  35441 28.2156 29.38  29.25   1.445  7.80   -64.5   1.0   0.2     3.9   91.4   7.91    12.5
2019/11/21 01:31:13 13.60  45843  35858 27.8875 29.80  29.71   1.468  7.80   -64.9   1.5   0.3     4.0   91.3   7.90    12.3
2019/11/21 01:37:13 13.53  46205  36079 27.7169 30.03  29.97   1.485  7.81   -65.0   2.5   0.6     3.4   90.8   7.85    12.5
2019/11/21 01:43:13 13.48  46420  36208 27.6182 30.17  30.12   1.499  7.81   -65.2   2.1   0.5     4.1   90.8   7.85    12.4
2019/11/21 01:49:13 13.50  46316  36143 27.6682 30.11  30.05   1.514  7.81   -65.1   2.4   0.5     3.9   90.8   7.85    12.6
2019/11/21 01:55:13 13.55  46092  36014 27.7672 29.96  29.89   1.527  7.81   -65.0   2.3   0.5     3.2   91.0   7.87    12.4
2019/11/21 02:01:13 13.56  45976  35933 27.8299 29.88  29.81   1.541  7.81   -65.1   1.1   0.3     3.2   91.0   7.87    12.4
2019/11/21 02:07:13 13.57  45943  35909 27.8480 29.86  29.78   1.552  7.80   -64.9   2.4   0.5     2.9   90.7   7.84    12.4
2019/11/21 02:13:13 13.55  46004  35942 27.8223 29.90  29.82   1.565  7.80   -64.9   1.1   0.2     2.8   90.4   7.82    12.4
2019/11/21 02:19:13 13.52  46173  36046 27.7424 30.01  29.95   1.576  7.81   -65.1   1.8   0.4     3.9   90.4   7.82    12.5
2019/11/21 02:25:13 13.53  46058  35967 27.8034 29.94  29.86   1.587  7.81   -65.0   1.5   0.3     3.2   90.6   7.83    12.4
2019/11/21 02:31:13 13.52  46121  36004 27.7748 29.98  29.91   1.595  7.81   -65.1   0.8   0.2     3.2   90.7   7.85    12.4
2019/11/21 02:37:13 13.55  45841  35817 27.9194 29.80  29.71   1.604  7.81   -65.1   1.4   0.3     3.0   90.8   7.86    12.4
2019/11/21 02:43:13 13.54  45851  35817 27.9194 29.80  29.71   1.613  7.81   -65.1   1.2   0.3     2.8   90.7   7.85    12.5
2019/11/21 02:49:13 13.49  46167  36021 27.7612 30.01  29.94   1.622  7.81   -65.2   1.2   0.3     3.2   90.6   7.84    12.4
2019/11/21 02:55:13 13.42  46616  36306 27.5439 30.30  30.26   1.632  7.81   -65.3   0.8   0.2     2.9   90.1   7.79    12.5
2019/11/21 03:01:13 13.32  47167  36644 27.2899 30.66  30.66   1.639  7.81   -65.4   1.8   0.4     3.9   89.2   7.72    12.3
2019/11/21 03:07:13 13.30  47262  36698 27.2493 30.72  30.72   1.644  7.81   -65.4   0.3   0.1     4.3   89.1   7.70    12.4
2019/11/21 03:13:13 13.29  47288  36713 27.2384 30.74  30.74   1.648  7.81   -65.4   0.3   0.1     3.7   88.9   7.69    12.4
2019/11/21 03:19:13 13.27  47367  36759 27.2044 30.79  30.80   1.653  7.81   -65.4   0.3   0.1     4.1   88.9   7.69    12.4
2019/11/21 03:25:14 13.27  47363  36755 27.2073 30.79  30.80   1.657  7.81   -65.4   0.5   0.1     3.5   88.9   7.69    12.4
2019/11/21 03:31:13 13.27  47358  36752 27.2094 30.78  30.79   1.660  7.81   -65.5   0.3   0.1     4.2   88.8   7.68    12.4
2019/11/21 03:37:13 13.30  47249  36688 27.2565 30.71  30.71   1.662  7.82   -65.6   0.9   0.2     4.2   89.0   7.69    12.4
2019/11/21 03:43:13 13.30  47208  36660 27.2776 30.69  30.69   1.664  7.81   -65.5   1.1   0.3     4.1   89.2   7.71    12.3
2019/11/21 03:49:13 13.27  47363  36755 27.2073 30.79  30.80   1.667  7.82   -65.6   0.4   0.1     4.2   88.9   7.68    12.4
2019/11/21 03:55:13 13.26  47378  36756 27.2065 30.80  30.81   1.669  7.82   -65.6   0.0   0.0     4.3   88.9   7.69    12.4
2019/11/21 04:01:13 13.25  47470  36816 27.1618 30.86  30.87   1.671  7.82   -65.6   0.9   0.2     3.2   88.8   7.67    12.4
2019/11/21 04:07:13 13.26  47406  36771 27.1950 30.81  30.83   1.672  7.82   -65.6   0.3   0.1     3.7   88.5   7.65    12.5
2019/11/21 04:13:13 13.25  47423  36782 27.1870 30.82  30.84   1.673  7.82   -65.6   1.1   0.3     4.0   88.4   7.65    12.4
2019/11/21 04:19:13 13.26  47396  36769 27.1972 30.81  30.82   1.673  7.82   -65.6   0.4   0.1     3.9   88.4   7.65    12.5
2019/11/21 04:25:13 13.27  47352  36741 27.2174 30.78  30.79   1.672  7.82   -65.6   0.8   0.2     3.8   88.6   7.66    12.4
2019/11/21 04:31:13 13.29  47304  36721 27.2326 30.75  30.75   1.670  7.82   -65.6   1.0   0.2     4.7   88.6   7.66    12.5
2019/11/21 04:37:13 13.29  47243  36674 27.2674 30.71  30.71   1.669  7.82   -65.6   0.1   0.0     7.0   88.5   7.66    12.4
2019/11/21 04:43:13 13.31  47096  36583 27.3351 30.61  30.60   1.667  7.81   -65.4   0.5   0.1     6.8   88.5   7.66    12.5
2019/11/21 04:49:13 13.35  46738  36342 27.5165 30.38  30.35   1.665  7.81   -65.5   0.3   0.1     5.9   88.8   7.69    12.5
2019/11/21 04:55:13 13.45  45855  35736 27.9827 29.81  29.71   1.660  7.81   -65.4   0.7   0.2     7.8   89.9   7.80    12.4
2019/11/21 05:01:13 13.70  43835  34370 29.0950 28.49  28.27   1.651  7.81   -65.3  -0.3  -0.1     5.4   92.1   8.02    12.5
2019/11/21 05:07:13 13.75  43508  34156 29.2772 28.28  28.04   1.647  7.81   -65.2   0.9   0.2     6.5   92.6   8.06    12.7
2019/11/21 05:13:13 13.79  42971  33767 29.6151 27.93  27.66   1.644  7.81   -65.2   0.4   0.1     5.4   92.9   8.11    12.5
2019/11/21 05:19:13 13.74  43399  34062 29.3586 28.21  27.96   1.642  7.81   -65.1   1.8   0.4     7.3   92.5   8.07    12.4
2019/11/21 05:25:13 13.71  43431  34069 29.3519 28.23  27.98   1.640  7.80   -64.8   1.0   0.2     8.6   91.9   8.02    12.5
2019/11/21 05:31:13 13.78  43224  33963 29.4439 28.10  27.84   1.633  7.80   -64.5   0.9   0.2     8.6   91.4   7.96    12.5
2019/11/21 05:37:14 13.80  43372  34092 29.3326 28.19  27.95   1.629  7.80   -64.5   1.8   0.4    10.1   91.2   7.94    12.4
2019/11/21 05:43:13 13.79  43431  34134 29.2965 28.23  27.99   1.624  7.79   -64.3   1.8   0.4    12.8   90.7   7.90    12.4
2019/11/21 05:49:13 13.81  43234  33993 29.4177 28.10  27.85   1.620  7.79   -64.1   1.7   0.4    12.5   90.6   7.89    12.4
2019/11/21 05:55:13 13.78  43178  33922 29.4795 28.07  27.81   1.613  7.79   -64.1   1.1   0.3    14.3   90.9   7.93    12.5
2019/11/21 06:01:13 13.78  42704  33551 29.8056 27.76  27.47   1.608  7.79   -64.2   0.5   0.1    12.2   91.4   7.98    12.4
2019/11/21 06:07:13 13.80  42825  33665 29.7044 27.84  27.56   1.601  7.79   -64.1   0.9   0.2    10.4   91.2   7.96    12.4
2019/11/21 06:13:13 13.81  43109  33894 29.5041 28.02  27.76   1.594  7.79   -64.0   2.0   0.5    10.0   90.6   7.89    12.4
2019/11/21 06:19:13 13.78  43360  34071 29.3502 28.18  27.94   1.588  7.79   -64.0   2.1   0.5     9.4   90.2   7.86    12.4
2019/11/21 06:25:13 13.78  43517  34189 29.2488 28.29  28.05   1.582  7.79   -64.0   1.4   0.3    11.1   90.3   7.86    12.4
2019/11/21 06:31:13 13.82  43055  33861 29.5322 27.99  27.72   1.576  7.78   -63.8   1.7   0.4     8.9   90.6   7.90    12.5
2019/11/21 06:37:13 13.84  42944  33789 29.5954 27.91  27.64   1.570  7.78   -63.7   1.8   0.4     9.6   90.3   7.87    12.4
2019/11/21 06:43:13 13.82  43039  33852 29.5407 27.98  27.71   1.566  7.78   -63.7   1.4   0.3     8.6   90.2   7.86    12.4
2019/11/21 06:49:13 13.80  42870  33699 29.6743 27.87  27.59   1.560  7.78   -63.7   0.7   0.2     9.5   90.3   7.88    12.4
2019/11/21 06:55:13 13.80  42893  33715 29.6605 27.88  27.60   1.555  7.78   -63.5   0.5   0.1     9.0   90.0   7.85    12.4
2019/11/21 07:01:13 13.80  42992  33793 29.5920 27.94  27.67   1.548  7.78   -63.6   0.8   0.2     9.9   89.8   7.83    12.4
2019/11/21 07:07:14 13.80  42967  33778 29.6048 27.93  27.66   1.540  7.78   -63.5   1.2   0.3     8.7   89.7   7.82    12.5
2019/11/21 07:13:13 13.80  42512  33419 29.9231 27.63  27.33   1.534  7.78   -63.5  -0.3  -0.1     7.8   90.3   7.90    12.5
2019/11/21 07:19:13 13.84  42659  33569 29.7891 27.73  27.44   1.526  7.78   -63.6   0.8   0.2     7.6   90.3   7.88    12.5
2019/11/21 07:25:13 13.84  42727  33619 29.7450 27.77  27.49   1.521  7.78   -63.6   1.7   0.4     7.3   90.6   7.91    12.4
2019/11/21 07:31:13 13.82  42825  33680 29.6915 27.84  27.56   1.516  7.78   -63.4   1.4   0.3     7.4   90.1   7.86    12.3
2019/11/21 07:37:13 13.85  42640  33556 29.8012 27.72  27.42   1.511  7.78   -63.7   0.5   0.1     7.5   90.8   7.92    12.4
2019/11/21 07:43:13 13.85  42632  33554 29.8030 27.71  27.42   1.507  7.78   -63.6   1.9   0.4     7.4   90.6   7.90    12.5
2019/11/21 07:49:13 13.85  42609  33538 29.8168 27.70  27.40   1.503  7.78   -63.6   1.1   0.3     8.1   90.5   7.90    12.4
2019/11/21 07:55:13 13.86  42581  33521 29.8325 27.68  27.38   1.499  7.78   -63.5   1.9   0.4     7.5   90.3   7.88    12.4
2019/11/21 08:01:13 13.86  42608  33540 29.8151 27.70  27.40   1.495  7.78   -63.5   1.1   0.2     7.3   90.3   7.88    12.5
2019/11/21 08:07:13 13.85  42623  33549 29.8073 27.70  27.41   1.493  7.77   -63.3   1.8   0.4     8.2   89.7   7.83    12.5
2019/11/21 08:13:13 13.85  42631  33549 29.8073 27.71  27.42   1.491  7.78   -63.4   1.7   0.4     8.1   90.0   7.86    12.7
2019/11/21 08:19:13 13.84  42515  33452 29.8934 27.63  27.34   1.488  7.78   -63.5   0.7   0.2     7.9   90.4   7.90    12.4
