====================================================================================================================================
      Date     Time  Temp SpCond   Cond  Resist   TDS    Sal   Press   Depth    pH      pH   Chl   Chl Turbid+ ODOsat    ODO Battery
     y/m/d hh:mm:ss     C  uS/cm  uS/cm  Ohm*cm   g/L    ppt    psir  meters            mV  ug/L   RFU     NTU      %   mg/L   volts
------------------------------------------------------------------------------------------------------------------------------------
2019/12/20 04:01:13 12.34  45469  34473 29.0085 29.55  29.40   2.521   1.737  7.78   -63.3   1.5   0.3     6.5   93.7   8.33    13.1
2019/12/20 04:07:13 12.31  45000  34091 29.3334 29.25  29.06   2.465   1.699  7.79   -64.1   1.0   0.2     5.1   93.8   8.36    13.0
2019/12/20 04:13:13 12.32  45263  34304 29.1514 29.42  29.25   2.427   1.673  7.80   -64.5   0.6   0.1     5.5   93.6   8.33    13.0
2019/12/20 04:19:14 12.33  45267  34314 29.1422 29.42  29.25   2.384   1.643  7.80   -64.7   1.1   0.3     5.9   93.6   8.34    13.2
2019/12/20 04:25:13 12.29  44576  33754 29.6262 28.97  28.76   2.313   1.595  7.80   -64.9   1.4   0.3     7.2   93.5   8.36    13.0
2019/12/20 04:31:14 12.23  43636  32989 30.3129 28.36  28.08   2.292   1.581  7.80   -64.9   1.4   0.3     6.9   93.8   8.43    13.0
2019/12/20 04:37:14 12.19  42821  32343 30.9188 27.83  27.50   2.246   1.550  7.80   -64.9   1.3   0.3     6.3   94.0   8.48    13.2
2019/12/20 04:43:13 12.11  42071  31710 31.5358 27.35  26.97   2.199   1.518  7.80   -64.8   1.2   0.3     7.2   94.2   8.55    13.0
2019/12/20 04:49:13 11.91  39193  29397 34.0171 25.48  24.93   2.159   1.493  7.80   -64.6   1.4   0.3     7.0   94.8   8.75    13.0
2019/12/20 04:55:14 11.85  37827  28325 35.3043 24.59  23.98   2.118   1.466  7.80   -64.5   1.1   0.2     7.2   94.8   8.82    13.0
2019/12/20 05:01:14 11.86  38082  28521 35.0619 24.75  24.15   2.097   1.451  7.79   -64.3   1.4   0.3     7.9   95.3   8.86    13.0
2019/12/20 05:07:13 11.86  37929  28413 35.1950 24.65  24.05   2.054   1.421  7.79   -64.2   2.3   0.5     8.6   95.2   8.84    13.0
2019/12/20 05:13:13 11.84  37006  27702 36.0989 24.05  23.40   1.995   1.381  7.79   -63.9   1.6   0.4     8.8   95.1   8.88    13.0
2019/12/20 05:19:13 11.87  37260  27916 35.8217 24.22  23.58   1.965   1.360  7.78   -63.8   2.4   0.5    10.5   94.9   8.84    13.0
2019/12/20 05:25:13 11.88  37171  27857 35.8977 24.16  23.52   1.920   1.329  7.78   -63.7   1.9   0.4    10.4   94.7   8.82    13.1
2019/12/20 05:31:13 11.86  36998  27710 36.0881 24.05  23.40   1.868   1.293  7.78   -63.7   2.0   0.5    12.5   94.3   8.80    13.0
2019/12/20 05:37:13 11.94  37469  28122 35.5599 24.35  23.73   1.820   1.260  7.78   -63.4   2.1   0.5    14.0   93.8   8.72    13.0
2019/12/20 05:43:14 11.94  37464  28116 35.5673 24.35  23.73   1.783   1.234  7.78   -63.4   2.7   0.6    14.2   93.7   8.71    13.0
2019/12/20 05:49:14 11.97  37745  28354 35.2690 24.53  23.92   1.733   1.199  7.78   -63.5   3.3   0.8    15.6   93.5   8.68    12.9
2019/12/20 05:55:14 11.96  37356  28049 35.6521 24.28  23.65   1.688   1.168  7.78   -63.4   3.0   0.7    16.7   93.7   8.71    13.0
2019/12/20 06:01:13 11.96  37542  28192 35.4706 24.40  23.78   1.658   1.147  7.78   -63.3   2.6   0.6    17.0   93.8   8.71    13.0
2019/12/20 06:07:14 11.96  37559  28207 35.4528 24.41  23.79   1.627   1.126  7.78   -63.5   2.0   0.5    22.4   93.6   8.69    13.0
2019/12/20 06:13:14 11.98  37337  28050 35.6502 24.27  23.64   1.592   1.102  7.78   -63.4   2.0   0.5    21.4   93.7   8.71    13.0
2019/12/20 06:19:14 11.94  36950  27732 36.0589 24.02  23.37   1.572   1.088  7.78   -63.2   3.0   0.7    21.4   93.6   8.72    13.0
2019/12/20 06:25:14 11.92  37051  27796 35.9759 24.08  23.44   1.549   1.072  7.78   -63.4   3.3   0.8    24.1   93.5   8.71    13.0
2019/12/20 06:31:14 11.87  36991  27717 36.0786 24.04  23.39   1.522   1.054  7.78   -63.5   2.3   0.5    17.0   93.5   8.73    13.0
2019/12/20 06:37:14 11.87  37206  27873 35.8776 24.18  23.54   1.492   1.033  7.78   -63.5   2.0   0.5    16.5   93.5   8.72    13.0
2019/12/20 06:43:14 11.85  37304  27934 35.7986 24.25  23.61   1.470   1.018  7.78   -63.5   2.4   0.6    15.8   93.4   8.70    13.0
2019/12/20 06:49:14 11.84  37124  27793 35.9797 24.13  23.49   1.450   1.004  7.78   -63.6   1.5   0.4    11.6   93.4   8.72    13.0
2019/12/20 06:55:14 11.85  37227  27880 35.8675 24.20  23.56   1.430   0.990  7.78   -63.6   2.4   0.5    14.1   93.4   8.71    12.9
2019/12/20 07:01:14 11.87  37334  27968 35.7548 24.27  23.63   1.415   0.979  7.78   -63.6   1.5   0.3    13.7   93.3   8.70    13.0
2019/12/20 07:07:13 11.87  37555  28138 35.5395 24.41  23.79   1.388   0.961  7.78   -63.5   2.1   0.5    15.3   93.2   8.67    13.0
2019/12/20 07:13:14 11.83  37205  27843 35.9160 24.18  23.54   1.370   0.948  7.78   -63.3   2.9   0.7    14.5   93.3   8.70    13.0
2019/12/20 07:19:14 11.82  37069  27735 36.0551 24.09  23.45   1.353   0.937  7.78   -63.6   2.8   0.6    11.7   93.4   8.72    12.9
2019/12/20 07:25:14 11.72  36192  27013 37.0190 23.52  22.83   1.341   0.928  7.78   -63.5   2.1   0.5    15.1   93.4   8.77    12.9
2019/12/20 07:31:13 11.74  36520  27268 36.6736 23.74  23.06   1.330   0.921  7.78   -63.5   1.5   0.3    15.1   93.3   8.75    13.0
2019/12/20 07:37:14 11.75  36611  27344 36.5708 23.80  23.13   1.305   0.904  7.78   -63.4   2.5   0.6    14.5   93.4   8.75    13.0
2019/12/20 07:43:14 11.78  36897  27583 36.2548 23.98  23.33   1.303   0.902  7.78   -63.5   1.9   0.4    14.0   93.3   8.72    13.0
2019/12/20 07:49:14 11.80  37092  27739 36.0500 24.11  23.46   1.293   0.895  7.78   -63.6   2.0   0.5    14.0   93.1   8.69    13.0
2019/12/20 07:55:14 11.81  37062  27721 36.0735 24.09  23.44   1.274   0.882  7.78   -63.5   2.0   0.5    14.4   92.9   8.68    13.0
2019/12/20 08:01:14 11.70  35954  26820 37.2852 23.37  22.67   1.295   0.897  7.78   -63.7   1.9   0.4    12.3   93.5   8.79    13.0
2019/12/20 08:07:13 11.67  35486  26448 37.8104 23.07  22.34   1.303   0.903  7.78   -63.7   1.6   0.4    12.8   93.6   8.83    13.0
2019/12/20 08:13:14 11.67  35523  26481 37.7630 23.09  22.37   1.325   0.918  7.78   -63.6   0.9   0.2    13.8   93.5   8.82    13.0
2019/12/20 08:19:14 11.68  35550  26506 37.7275 23.11  22.39   1.355   0.939  7.78   -63.5   1.5   0.3    15.6   93.3   8.80    13.0
2019/12/20 08:25:13 11.70  35727  26649 37.5243 23.22  22.51   1.372   0.950  7.78   -63.6   2.2   0.5    17.1   93.2   8.78    12.9
2019/12/20 08:31:14 11.71  35895  26782 37.3382 23.33  22.63   1.386   0.960  7.78   -63.4   2.0   0.5    17.8   93.2   8.77    13.0
2019/12/20 08:37:14 11.67  35519  26476 37.7706 23.09  22.37   1.393   0.965  7.78   -63.6   2.3   0.5    16.6   93.2   8.79    13.0
2019/12/20 08:43:13 11.68  35582  26526 37.6990 23.13  22.41   1.401   0.970  7.78   -63.5   2.3   0.5    16.4   93.1   8.77    13.0
2019/12/20 08:49:14 11.68  35596  26537 37.6831 23.14  22.42   1.414   0.980  7.78   -63.5   2.5   0.6    18.4   92.8   8.75    13.0
2019/12/20 08:55:14 11.68  35609  26550 37.6644 23.15  22.43   1.426   0.988  7.78   -63.5   1.8   0.4    18.3   93.0   8.76    13.0
2019/12/20 09:01:14 11.66  35249  26268 38.0690 22.91  22.18   1.464   1.014  7.78   -63.7   2.3   0.5    18.1   93.2   8.80    13.1
2019/12/20 09:07:14 11.67  34935  26037 38.4067 22.71  21.96   1.495   1.036  7.78   -63.6   1.8   0.4    15.4   93.2   8.82    12.8
2019/12/20 09:13:14 11.67  34874  25996 38.4680 22.67  21.92   1.517   1.051  7.78   -63.4   1.1   0.3    13.8   93.0   8.80    13.0
2019/12/20 09:19:14 11.68  34833  25969 38.5071 22.64  21.89   1.544   1.070  7.78   -63.4   1.8   0.4    12.3   92.9   8.78    13.0
2019/12/20 09:25:13 11.68  34769  25922 38.5767 22.60  21.85   1.575   1.091  7.78   -63.3   0.6   0.1    12.0   92.8   8.78    12.9
2019/12/20 09:31:14 11.68  34683  25858 38.6729 22.54  21.79   1.600   1.109  7.78   -63.4   1.0   0.2    12.8   93.1   8.81    13.0
2019/12/20 09:37:14 11.68  34689  25860 38.6692 22.55  21.79   1.644   1.139  7.78   -63.4   1.5   0.3    11.7   92.9   8.79    13.0
2019/12/20 09:43:14 11.68  34263  25544 39.1475 22.27  21.50   1.678   1.163  7.77   -63.2   1.9   0.4    11.4   92.8   8.80    13.0
2019/12/20 09:49:14 11.67  34178  25478 39.2503 22.22  21.44   1.705   1.182  7.77   -63.1   1.8   0.4    11.2   92.7   8.79    13.0
2019/12/20 09:55:14 11.66  34007  25341 39.4620 22.10  21.32   1.747   1.211  7.77   -63.1   1.8   0.4    10.7   92.8   8.81    12.9
2019/12/20 10:01:14 11.63  33653  25060 39.9049 21.87  21.08   1.794   1.244  7.77   -63.1   1.7   0.4     9.5   92.5   8.81    13.0
2019/12/20 10:07:14 11.63  33691  25091 39.8552 21.90  21.11   1.844   1.278  7.78   -63.5   1.8   0.4     9.3   92.6   8.81    12.9
2019/12/20 10:13:14 11.63  33588  25013 39.9797 21.83  21.03   1.911   1.325  7.77   -62.9   1.8   0.4     8.7   92.3   8.78    12.9
2019/12/20 10:19:14 11.63  33569  24996 40.0070 21.82  21.02   1.970   1.366  7.77   -62.9   1.3   0.3     8.5   92.0   8.76    13.1
2019/12/20 10:25:13 11.62  33564  24989 40.0172 21.82  21.02   2.006   1.391  7.77   -62.9   1.2   0.3     8.2   91.9   8.75    12.9
2019/12/20 10:31:14 11.62  33552  24979 40.0336 21.81  21.01   2.040   1.414  7.77   -62.9   1.2   0.3     8.1   91.8   8.74    13.0
2019/12/20 10:37:14 11.62  33546  24974 40.0422 21.80  21.01   2.084   1.445  7.77   -62.8   0.4   0.1     7.0   91.6   8.73    12.7
2019/12/20 10:43:14 11.62  33507  24944 40.0900 21.78  20.98   2.119   1.470  7.77   -62.8   1.6   0.4     9.1   91.8   8.75    12.9
2019/12/20 10:49:14 11.62  33596  25011 39.9820 21.84  21.04   2.166   1.502  7.77   -63.0   2.4   0.6     8.4   92.1   8.77    13.1
2019/12/20 10:55:14 11.62  33573  24992 40.0125 21.82  21.02   2.214   1.535  7.77   -62.9   1.3   0.3     9.0   92.0   8.76    12.9
2019/12/20 11:01:14 11.62  33703  25093 39.8521 21.91  21.11   2.268   1.573  7.77   -63.2   1.3   0.3     8.3   92.2   8.78    13.0
2019/12/20 11:07:13 11.66  34585  25775 38.7967 22.48  21.72   2.313   1.603  7.78   -63.4   1.4   0.3     8.7   92.4   8.75    12.9
2019/12/20 11:13:13 11.68  34737  25897 38.6145 22.58  21.83   2.365   1.639  7.78   -63.4   0.9   0.2     9.2   92.1   8.72    12.9
2019/12/20 11:19:14 11.66  34627  25807 38.7497 22.51  21.75   2.404   1.666  7.78   -63.5   1.6   0.4     9.4   92.3   8.74    12.9
2019/12/20 11:25:14 11.72  35581  26559 37.6519 23.13  22.41   2.447   1.695  7.78   -63.7   1.8   0.4     9.0   92.1   8.67    12.9
2019/12/20 11:31:14 11.78  36545  27315 36.6093 23.75  23.08   2.492   1.726  7.79   -63.9   2.1   0.5     9.0   92.6   8.67    12.9
2019/12/20 11:37:14 11.79  36716  27455 36.4231 23.87  23.20   2.551   1.766  7.79   -63.8   1.1   0.2     8.6   91.7   8.58    12.9
2019/12/20 11:43:14 11.75  36316  27127 36.8637 23.61  22.92   2.606   1.805  7.79   -64.1   0.8   0.2     8.3   92.5   8.68    12.9
2019/12/20 11:49:14 11.82  37254  27878 35.8700 24.22  23.58   2.653   1.836  7.79   -64.0   1.9   0.4     8.7   92.2   8.60    12.8
2019/12/20 11:55:14 11.91  38853  29136 34.3215 25.25  24.70   2.698   1.866  7.80   -64.4   2.1   0.5     8.0   91.8   8.49    12.9
2019/12/20 12:01:14 11.88  38705  29005 34.4769 25.16  24.59   2.745   1.899  7.80   -64.5   1.7   0.4     6.8   92.3   8.55    12.7
2019/12/20 12:07:14 11.95  39580  29711 33.6576 25.73  25.21   2.784   1.925  7.81   -65.0   2.0   0.4     6.1   92.2   8.49    12.9
2019/12/20 12:13:14 11.98  39919  29990 33.3442 25.95  25.45   2.820   1.949  7.80   -64.9   1.6   0.4     6.4   91.7   8.43    12.9
2019/12/20 12:19:14 12.02  40880  30749 32.5214 26.57  26.12   2.856   1.973  7.81   -65.2   1.5   0.3     6.2   92.0   8.41    12.9
2019/12/20 12:25:14 12.15  42652  32186 31.0698 27.72  27.38   2.898   2.000  7.82   -65.6   1.6   0.4     6.8   91.8   8.31    12.9
2019/12/20 12:31:14 12.24  44195  33425 29.9179 28.73  28.48   2.940   2.028  7.82   -66.0   1.1   0.3     8.1   92.2   8.27    12.9
