"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Chl","Chl","Turbid+","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","g/L","ppt","psir","meters","","mV","ug/L","RFU","NTU","%","mg/L","volts"
"2020/02/07","03:25:14",11.58,37141,27624,36.2003,24.14,23.49,1.866,1.292,7.79,-68.3,2.82,0.65,15.7,93.4,8.76,12.5
"2020/02/07","03:31:14",11.59,37180,27655,36.1594,24.16,23.52,1.923,1.331,7.79,-68.5,2.90,0.67,14.7,93.3,8.75,12.5
"2020/02/07","03:37:14",11.58,37172,27641,36.1779,24.16,23.51,1.990,1.377,7.79,-68.7,2.59,0.59,14.4,93.3,8.75,12.5
"2020/02/07","03:43:14",11.58,37190,27654,36.1613,24.17,23.52,2.023,1.400,7.79,-68.7,2.96,0.68,16.2,93.4,8.76,12.5
"2020/02/07","03:49:14",11.58,37246,27701,36.1001,24.21,23.56,2.044,1.414,7.79,-68.7,2.87,0.66,16.5,93.3,8.75,12.4
"2020/02/07","03:55:14",11.58,37228,27685,36.1212,24.19,23.55,2.102,1.455,7.80,-68.8,2.88,0.66,14.4,93.2,8.74,12.4
"2020/02/07","04:01:14",11.59,37291,27742,36.0461,24.23,23.59,2.149,1.488,7.79,-68.7,3.01,0.69,14.8,93.1,8.73,12.5
"2020/02/07","04:07:14",11.60,37630,27996,35.7198,24.45,23.83,2.186,1.513,7.80,-68.8,2.97,0.68,16.1,92.7,8.68,12.4
"2020/02/07","04:13:14",11.64,39254,29237,34.2028,25.51,24.97,2.243,1.551,7.79,-68.6,1.88,0.43,14.8,92.4,8.57,12.5
"2020/02/07","04:19:14",11.61,38085,28347,35.2768,24.75,24.15,2.285,1.580,7.80,-68.8,2.28,0.53,13.4,92.5,8.64,12.4
"2020/02/07","04:25:14",11.63,38869,28947,34.5461,25.26,24.70,2.322,1.605,7.79,-68.7,2.30,0.53,14.6,92.2,8.58,12.4
"2020/02/07","04:31:15",11.62,38915,28968,34.5205,25.29,24.73,2.368,1.637,7.80,-69.0,3.33,0.77,14.0,92.0,8.56,12.4
"2020/02/07","04:37:14",11.61,38732,28823,34.6948,25.17,24.60,2.414,1.669,7.80,-69.1,2.95,0.68,11.0,92.2,8.59,12.4
"2020/02/07","04:43:14",11.63,40507,30164,33.1525,26.32,25.85,2.441,1.687,7.80,-68.8,2.31,0.53,12.2,91.7,8.47,12.4
"2020/02/07","04:49:14",11.62,40953,30485,32.8031,26.61,26.16,2.496,1.724,7.80,-68.9,2.21,0.51,11.2,91.5,8.43,12.3
"2020/02/07","04:55:15",11.61,41294,30732,32.5389,26.84,26.40,2.518,1.739,7.80,-68.8,2.06,0.47,13.3,91.3,8.40,12.5
"2020/02/07","05:01:14",11.61,40878,30420,32.8732,26.57,26.11,2.602,1.797,7.80,-69.0,1.76,0.40,10.4,91.3,8.42,12.4
"2020/02/07","05:07:14",11.60,40886,30422,32.8710,26.57,26.11,2.648,1.829,7.80,-69.0,2.41,0.55,10.8,91.3,8.42,12.4
"2020/02/07","05:13:14",11.59,41570,30919,32.3421,27.02,26.59,2.683,1.853,7.80,-69.0,2.00,0.46,9.5,91.1,8.38,12.4
"2020/02/07","05:19:15",11.59,42294,31459,31.7879,27.49,27.11,2.701,1.865,7.80,-69.0,2.26,0.52,9.9,90.5,8.30,12.5
"2020/02/07","05:25:15",11.58,43352,32242,31.0152,28.17,27.86,2.724,1.879,7.80,-69.0,1.70,0.39,13.4,90.1,8.22,12.5
"2020/02/07","05:31:14",11.58,44450,33057,30.2511,28.89,28.64,2.748,1.895,7.79,-68.7,2.47,0.57,17.1,89.5,8.13,12.4
"2020/02/07","05:37:14",11.58,44578,33151,30.1646,28.97,28.73,2.779,1.916,7.80,-69.0,2.81,0.64,16.8,89.3,8.11,12.4
"2020/02/07","05:43:14",11.58,44575,33147,30.1682,28.97,28.73,2.797,1.928,7.80,-69.0,2.20,0.51,15.3,89.2,8.10,12.4
"2020/02/07","05:49:14",11.58,44794,33313,30.0187,29.11,28.88,2.835,1.954,7.80,-68.9,2.92,0.67,15.5,89.1,8.08,12.4
"2020/02/07","05:55:14",11.58,44916,33404,29.9362,29.19,28.97,2.876,1.983,7.80,-68.9,2.10,0.48,17.4,89.1,8.07,12.4
"2020/02/07","06:01:14",11.57,44184,32854,30.4381,28.72,28.45,2.908,2.005,7.80,-69.2,2.08,0.48,11.7,89.4,8.13,12.4
"2020/02/07","06:07:15",11.57,43466,32314,30.9459,28.25,27.94,2.949,2.034,7.80,-69.3,1.97,0.45,9.0,89.7,8.18,12.5
"2020/02/07","06:13:14",11.55,42172,31335,31.9127,27.41,27.02,2.974,2.053,7.80,-69.3,2.31,0.53,10.2,90.5,8.31,12.4
"2020/02/07","06:19:14",11.56,42944,31920,31.3284,27.91,27.57,3.010,2.077,7.80,-69.3,2.68,0.61,12.5,90.0,8.23,12.4
"2020/02/07","06:25:15",11.57,43676,32474,30.7942,28.38,28.09,3.031,2.091,7.80,-69.1,2.91,0.67,11.7,89.7,8.18,12.5
"2020/02/07","06:31:15",11.58,44180,32852,30.4399,28.71,28.45,3.039,2.096,7.80,-69.2,2.13,0.49,9.4,89.2,8.11,12.7
"2020/02/07","06:37:14",11.58,44625,33186,30.1336,29.00,28.76,3.043,2.098,7.80,-69.2,2.23,0.51,10.9,89.0,8.08,12.4
"2020/02/07","06:43:14",11.58,44747,33277,30.0504,29.08,28.85,3.060,2.109,7.80,-69.3,2.45,0.56,10.1,88.9,8.06,12.4
"2020/02/07","06:49:14",11.58,45061,33508,29.8437,29.29,29.08,3.071,2.117,7.80,-69.2,1.84,0.42,9.5,88.6,8.02,12.4
"2020/02/07","06:55:14",11.57,45298,33683,29.6889,29.44,29.24,3.092,2.131,7.80,-69.2,2.12,0.48,9.4,88.3,7.99,12.5
"2020/02/07","07:01:14",11.57,43490,32331,30.9300,28.26,27.95,3.102,2.140,7.81,-69.5,2.15,0.50,10.4,89.4,8.16,12.4
"2020/02/07","07:07:14",11.58,44247,32902,30.3929,28.76,28.49,3.114,2.147,7.81,-69.4,2.03,0.47,11.2,89.2,8.11,12.4
"2020/02/07","07:13:14",11.57,44945,33420,29.9222,29.21,28.99,3.109,2.143,7.80,-69.3,1.46,0.33,11.9,88.8,8.05,12.4
"2020/02/07","07:19:14",11.57,45228,33629,29.7363,29.39,29.19,3.105,2.140,7.80,-69.0,2.51,0.58,12.8,88.2,7.99,12.3
