"Date","Time","Temp","SpCond","Cond","Resist","Sal","Press","Depth","pH","pH","Turbid+","Chl","Chl","TDS","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","ppt","psir","meters","","mV","NTU","ug/L","RFU","g/L","%","mg/L","volts"
"2020/05/15","23:37:15",17.92,37029,32020,31.2309,23.50,1.986,1.376,7.83,-77.8,4.8,5.15,1.18,24.06,99.3,8.18,12.4
"2020/05/15","23:43:15",18.04,36848,31951,31.2982,23.38,2.041,1.414,7.84,-78.1,3.8,5.12,1.17,23.95,99.8,8.21,12.4
"2020/05/15","23:49:15",18.00,36951,32014,31.2366,23.45,2.080,1.442,7.84,-78.1,4.3,3.53,0.81,24.01,99.7,8.20,12.7
"2020/05/15","23:55:15",17.59,38131,32731,30.5516,24.28,2.113,1.463,7.82,-77.0,3.6,3.10,0.71,24.78,96.5,7.97,12.5
"2020/05/16","00:01:15",17.67,38007,32688,30.5927,24.19,2.151,1.490,7.83,-77.5,3.7,3.51,0.80,24.70,97.5,8.04,12.4
"2020/05/16","00:07:15",17.45,38633,33059,30.2493,24.63,2.181,1.510,7.83,-77.4,3.6,3.37,0.77,25.11,96.4,7.96,12.5
"2020/05/16","00:13:15",17.40,38644,33034,30.2716,24.64,2.237,1.549,7.83,-77.3,3.7,4.25,0.98,25.11,96.2,7.95,12.4
"2020/05/16","00:19:15",17.47,38564,33015,30.2895,24.58,2.259,1.564,7.83,-77.8,3.5,3.93,0.90,25.06,96.9,8.00,12.4
"2020/05/16","00:25:15",17.29,39051,33304,30.0266,24.92,2.314,1.602,7.83,-77.4,3.7,2.85,0.65,25.38,96.3,7.96,12.4
"2020/05/16","00:31:15",17.15,39562,33631,29.7345,25.28,2.364,1.635,7.83,-77.3,3.3,2.93,0.67,25.71,96.0,7.94,12.5
"2020/05/16","00:37:16",16.96,40192,34019,29.3957,25.73,2.379,1.645,7.82,-77.1,4.2,2.65,0.61,26.12,94.8,7.85,12.4
"2020/05/16","00:43:15",17.27,39381,33563,29.7942,25.16,2.420,1.674,7.83,-77.9,3.2,3.15,0.72,25.59,96.6,7.98,12.4
"2020/05/16","00:49:15",17.17,40058,34063,29.3569,25.63,2.479,1.715,7.84,-78.0,2.9,3.80,0.87,26.03,97.3,8.03,12.4
"2020/05/16","00:55:15",17.05,40425,34283,29.1688,25.89,2.491,1.722,7.83,-77.9,2.8,3.06,0.70,26.27,97.1,8.02,12.5
"2020/05/16","01:01:16",16.60,41809,35098,28.4919,26.88,2.521,1.742,7.83,-77.2,3.1,2.60,0.60,27.17,94.7,7.85,12.4
"2020/05/16","01:07:16",16.16,43199,35908,27.8487,27.86,2.561,1.768,7.82,-77.0,2.5,2.80,0.64,28.07,93.3,7.75,12.4
"2020/05/16","01:13:16",16.29,42964,35817,27.9194,27.70,2.595,1.792,7.83,-77.6,4.2,3.44,0.79,27.92,94.3,7.82,12.4
"2020/05/16","01:19:16",16.03,43664,36182,27.6383,28.19,2.657,1.834,7.83,-77.4,3.5,3.38,0.77,28.38,93.8,7.80,12.4
"2020/05/16","01:25:16",15.98,43842,36288,27.5572,28.32,2.687,1.854,7.83,-77.2,3.3,4.09,0.94,28.49,93.1,7.73,12.4
"2020/05/16","01:31:16",15.54,45090,36941,27.0698,29.21,2.725,1.879,7.82,-76.6,3.2,1.60,0.37,29.30,91.0,7.59,12.5
"2020/05/16","01:37:17",15.85,44105,36400,27.4722,28.51,2.753,1.899,7.82,-77.0,3.1,2.05,0.47,28.66,92.2,7.67,12.5
"2020/05/16","01:43:16",16.03,43585,36118,27.6869,28.14,2.781,1.920,7.82,-77.1,4.0,2.10,0.48,28.33,92.2,7.66,12.4
"2020/05/16","01:49:16",16.05,43530,36092,27.7071,28.10,2.817,1.944,7.83,-77.2,2.6,2.12,0.49,28.29,92.5,7.69,12.4
"2020/05/16","01:55:15",16.09,43443,36048,27.7409,28.04,2.847,1.966,7.83,-77.3,2.5,2.60,0.60,28.23,92.5,7.68,12.5
"2020/05/16","02:01:16",16.04,43670,36200,27.6241,28.20,2.858,1.973,7.83,-77.3,2.4,2.65,0.61,28.38,92.7,7.70,12.4
"2020/05/16","02:07:16",15.64,44786,36782,27.1870,28.99,2.890,1.993,7.83,-77.2,3.3,3.02,0.69,29.11,92.0,7.67,12.3
"2020/05/16","02:13:16",15.24,45885,37333,26.7859,29.78,2.909,2.005,7.82,-76.7,3.2,2.56,0.59,29.82,89.9,7.52,12.4
"2020/05/16","02:19:17",15.00,46547,37657,26.5553,30.25,2.922,2.014,7.82,-76.7,4.5,2.44,0.56,30.25,89.1,7.46,12.5
"2020/05/16","02:25:17",15.26,45853,37324,26.7922,29.76,2.959,2.040,7.82,-77.0,3.4,1.69,0.39,29.80,90.5,7.56,12.5
"2020/05/16","02:31:16",15.63,44841,36817,27.1610,29.03,2.993,2.064,7.83,-77.2,2.4,2.48,0.57,29.14,91.5,7.62,12.4
"2020/05/16","02:37:16",15.82,44308,36539,27.3679,28.65,3.022,2.085,7.83,-77.6,2.3,3.13,0.72,28.80,92.0,7.66,12.3
"2020/05/16","02:43:17",15.49,45250,37033,27.0027,29.33,3.048,2.102,7.82,-77.0,3.3,2.28,0.52,29.41,90.6,7.56,12.5
"2020/05/16","02:49:17",15.19,46112,37474,26.6854,29.94,3.068,2.115,7.82,-76.7,3.7,1.55,0.36,29.97,89.2,7.46,12.3
"2020/05/16","02:55:17",15.06,46503,37670,26.5463,30.22,3.086,2.126,7.82,-76.7,4.3,1.79,0.41,30.22,88.8,7.43,12.5
"2020/05/16","03:01:17",14.97,46739,37787,26.4640,30.39,3.098,2.134,7.82,-76.7,3.7,2.85,0.65,30.38,88.9,7.45,12.5
"2020/05/16","03:07:17",15.04,46550,37695,26.5285,30.26,3.130,2.156,7.82,-76.6,2.8,2.22,0.51,30.25,89.2,7.46,12.5
"2020/05/16","03:13:17",15.55,44989,36866,27.1251,29.14,3.150,2.173,7.83,-77.1,4.3,2.79,0.64,29.24,90.3,7.53,12.5
"2020/05/16","03:19:16",15.41,45412,37093,26.9594,29.44,3.171,2.186,7.83,-77.0,4.8,2.60,0.60,29.51,89.9,7.50,12.4
