"Date","Time","Temp","SpCond","Cond","Resist","TDS","Sal","Press","Depth","pH","pH","Chl","Chl","Turbid+","ODOsat","ODO","Battery"
"Y/M/D","HH:MM:SS","C","uS","uS","Ohm*cm","g/L","ppt","psir","meters","","mV","ug/L","RFU","NTU","%","mg/L","volts"
"2020/05/15","17:49:15",16.39,38496,32169,31.0858,25.02,24.53,2.000,1.384,7.78,-72.8,3.92,0.90,8.4,92.8,7.83,12.5
"2020/05/15","17:55:15",16.29,38967,32484,30.7840,25.32,24.86,1.972,1.365,7.77,-72.4,4.37,1.00,12.0,91.1,7.69,12.5
"2020/05/15","18:01:15",16.40,38635,32287,30.9721,25.11,24.63,1.942,1.344,7.77,-72.4,3.15,0.72,11.8,91.5,7.71,12.6
"2020/05/15","18:07:15",16.44,38638,32324,30.9365,25.11,24.63,1.897,1.313,7.77,-72.5,3.98,0.91,12.6,92.1,7.76,12.5
"2020/05/15","18:13:15",16.47,38609,32322,30.9384,25.09,24.61,1.854,1.284,7.77,-72.5,3.41,0.78,12.0,92.2,7.76,12.6
"2020/05/15","18:19:15",16.48,38579,32303,30.9571,25.07,24.59,1.820,1.259,7.77,-72.4,2.54,0.58,11.4,91.7,7.72,12.6
"2020/05/15","18:25:15",16.60,38281,32141,31.1132,24.88,24.38,1.775,1.229,7.77,-72.6,2.91,0.67,9.8,93.0,7.82,12.5
"2020/05/15","18:31:15",16.61,38438,32281,30.9777,24.98,24.49,1.743,1.207,7.77,-72.5,3.62,0.83,9.8,92.6,7.78,12.5
"2020/05/15","18:37:14",16.68,38385,32287,30.9721,24.95,24.45,1.709,1.183,7.77,-72.6,4.16,0.96,10.9,93.3,7.83,12.4
"2020/05/15","18:43:14",16.54,38929,32642,30.6357,25.30,24.83,1.681,1.164,7.77,-72.4,3.55,0.82,12.5,92.5,7.77,12.4
